Time(sec),Temperature(C),PWM(%)
0.000,27.25,0
0.004,27.25,0
0.008,27.25,0
0.012,27.25,0
0.016,27.25,0
0.020,27.25,0
0.024,27.25,0
0.033,27.25,0
0.033,27.25,0
0.036,27.25,0
0.046,27.25,0
0.046,27.25,0
0.054,27.25,0
0.054,27.25,0
0.057,27.25,0
0.064,27.25,0
0.064,27.25,0
0.069,27.25,0
0.073,27.25,0
0.077,27.25,0
0.080,27.25,0
0.087,27.25,0
0.089,27.25,0
0.092,27.25,0
0.096,27.25,0
0.100,27.25,0
0.104,27.25,0
0.108,27.25,0
0.112,27.25,0
0.117,27.25,0
0.121,27.25,0
0.124,27.25,0
0.131,27.25,0
0.133,27.25,0
0.136,27.25,0
0.141,27.25,0
0.144,27.25,0
0.148,27.25,0
0.152,27.25,0
0.156,27.25,0
0.160,27.25,0
0.164,27.25,0
0.171,27.25,0
0.172,27.25,0
0.177,27.25,0
0.181,27.25,0
0.184,27.25,0
0.188,27.25,0
0.192,27.25,0
0.196,27.25,0
0.200,27.25,0
0.204,27.25,0
0.208,27.25,0
0.212,27.25,0
0.218,27.25,0
0.222,27.25,0
0.225,27.25,0
0.228,27.25,0
0.234,27.25,0
0.236,27.25,0
0.243,27.25,0
0.244,27.25,0
0.248,27.25,0
0.252,27.25,0
0.256,27.25,0
0.260,27.25,0
0.265,27.25,0
0.268,27.25,0
0.272,27.25,0
0.277,27.25,0
0.281,27.25,0
0.284,27.25,0
0.288,27.25,0
0.292,27.25,0
0.296,27.25,0
0.300,27.25,0
0.304,27.25,0
0.308,27.25,0
0.312,27.25,0
0.318,27.25,0
0.321,27.25,0
0.324,27.25,0
0.331,27.25,0
0.332,27.25,0
0.336,27.25,0
0.340,27.25,0
0.347,27.25,0
0.348,27.25,0
0.352,27.25,0
0.356,27.25,0
0.360,27.25,0
0.365,27.25,0
0.371,27.25,0
0.372,27.25,0
0.378,27.25,0
0.383,27.25,0
0.385,27.25,0
0.388,27.25,0
0.392,27.25,0
0.396,27.25,0
0.400,27.25,0
0.404,27.25,0
0.408,27.25,0
0.412,27.25,0
0.418,27.25,0
0.422,27.25,0
0.425,27.25,0
0.428,27.25,0
0.435,27.25,0
0.436,27.25,0
0.440,27.25,0
0.444,27.25,0
0.452,27.25,0
0.456,27.25,0
0.460,27.25,0
0.464,27.25,0
0.471,27.25,0
0.472,27.25,0
0.477,27.25,0
0.482,27.25,0
0.484,27.25,0
0.488,27.25,0
0.492,27.25,0
0.496,27.25,0
0.501,27.25,0
0.504,27.25,0
0.508,27.25,0
0.512,27.25,0
0.518,27.25,0
0.520,27.25,0
