Time(sec),Temperature(C),PWM(%)
0.004,26.25,0
0.008,26.25,0
0.012,26.25,0
0.015,26.25,0
0.019,26.25,0
0.024,26.25,0
0.028,26.25,0
0.032,26.25,0
0.036,26.25,0
0.039,26.25,0
0.044,26.25,0
0.048,26.25,0
0.052,26.25,0
0.060,26.25,0
0.060,26.25,0
0.064,26.25,0
0.069,26.25,0
0.084,26.25,0
0.084,26.25,0
0.084,26.25,0
0.084,26.25,0
0.087,26.25,0
0.094,26.25,0
0.102,26.25,0
0.102,26.25,0
0.103,26.25,0
0.113,26.25,0
0.114,26.25,0
0.117,26.25,0
0.126,26.25,0
0.132,26.25,0
0.133,26.25,0
0.142,26.25,0
0.142,26.25,0
0.147,26.25,0
0.147,26.25,0
0.151,26.25,0
0.156,26.25,0
0.160,26.25,0
0.166,26.25,0
0.167,26.25,0
0.173,26.25,0
0.178,26.25,0
0.180,26.25,0
0.183,26.25,0
0.190,26.25,0
0.192,26.25,0
0.195,26.25,0
0.199,26.25,0
0.203,26.25,0
0.207,26.25,0
0.211,26.25,0
0.218,26.25,0
0.219,26.25,0
0.227,26.25,0
0.227,26.25,0
0.231,26.25,0
0.235,26.25,0
0.239,26.25,0
0.243,26.25,0
0.247,26.25,0
0.251,26.25,0
0.255,26.25,0
0.259,26.25,0
0.263,26.25,0
0.270,26.25,0
0.272,26.25,0
0.277,26.25,0
0.281,26.25,0
0.283,26.25,0
0.289,26.25,0
0.291,26.25,0
0.295,26.25,0
0.299,26.25,0
0.303,26.25,0
0.307,26.25,0
0.311,26.25,0
0.316,26.25,0
0.320,26.25,0
0.325,26.25,0
0.328,26.25,0
0.332,26.25,0
0.335,26.25,0
0.339,26.25,0
0.343,26.25,0
0.347,26.25,0
0.351,26.25,0
0.355,26.25,0
0.359,26.25,0
0.363,26.25,0
0.369,26.25,0
0.372,26.25,0
0.378,26.25,0
0.382,26.25,0
0.384,26.25,0
0.391,26.25,0
0.392,26.25,0
0.396,26.25,0
0.400,26.25,0
0.404,26.25,0
0.408,26.25,0
0.412,26.25,0
0.416,26.25,0
0.421,26.25,0
0.428,26.25,0
0.429,26.25,0
0.436,26.25,0
0.437,26.25,0
0.440,26.25,0
0.447,26.25,0
0.447,26.25,0
0.451,26.25,0
0.456,26.25,0
0.460,26.25,0
0.465,26.25,0
0.470,26.25,0
0.478,26.25,0
0.478,26.25,0
0.479,26.25,0
0.485,26.25,0
0.489,26.25,0
0.492,26.25,0
0.499,26.25,0
0.499,26.25,0
0.503,26.25,0
0.507,26.25,0
0.511,26.25,0
0.516,26.25,0
0.519,26.25,0
0.527,26.25,0
0.528,26.25,0
0.532,26.25,0
0.535,26.25,0
0.539,26.25,0
0.543,26.25,0
0.547,26.25,0
0.551,26.25,0
0.555,26.25,0
0.559,26.25,0
0.564,26.25,0
0.567,26.25,0
0.571,26.25,0
0.575,26.25,0
0.581,26.25,0
0.586,26.25,0
0.588,26.25,0
0.594,26.25,0
0.595,26.25,0
0.600,26.25,0
0.603,26.25,0
0.607,26.25,0
0.611,26.25,0
0.616,26.25,0
0.620,26.25,0
0.629,26.25,0
0.629,26.25,0
0.633,26.25,0
0.635,26.25,0
0.639,26.25,0
0.643,26.25,0
0.647,26.25,0
0.659,26.25,0
0.659,26.25,0
0.661,26.25,0
0.664,26.25,0
0.667,26.25,0
0.672,26.25,0
0.683,26.25,0
0.687,26.25,0
0.687,26.25,0
0.687,26.25,0
0.691,26.25,0
0.700,26.25,0
0.700,26.25,0
0.704,26.25,0
0.712,26.25,0
0.712,26.25,0
0.718,26.25,0
0.723,26.25,0
0.724,26.25,0
0.729,26.25,0
0.731,26.25,0
0.735,26.25,0
0.739,26.25,0
0.743,26.25,0
0.748,26.25,0
0.751,26.25,0
0.755,26.25,0
0.759,26.25,0
0.764,26.25,0
0.770,26.25,0
0.772,26.25,0
0.778,26.25,0
0.779,26.25,0
0.783,26.25,0
0.787,26.25,0
0.791,26.25,0
0.795,26.25,0
0.799,26.25,0
0.803,26.25,0
0.807,26.25,0
0.811,26.25,0
0.816,26.25,0
0.820,26.25,0
0.825,26.25,0
0.829,26.25,0
0.833,26.25,0
0.835,26.25,0
0.840,26.25,0
0.843,26.25,0
0.847,26.25,0
0.851,26.25,0
0.855,26.25,0
0.859,26.25,0
0.863,26.25,0
0.871,26.25,0
0.871,26.25,0
0.876,26.25,0
0.879,26.25,0
0.884,26.25,0
0.887,26.25,0
0.891,26.25,0
0.895,26.25,0
0.899,26.25,0
0.903,26.25,0
0.907,26.25,0
0.911,26.25,0
0.916,26.25,0
0.920,26.25,0
0.927,26.25,0
0.927,26.25,0
0.932,26.25,0
0.935,26.25,0
0.939,26.25,0
0.943,26.25,0
0.947,26.25,0
0.951,26.25,0
0.955,26.25,0
0.960,26.25,0
0.964,26.25,0
0.970,26.25,0
0.971,26.25,0
0.980,26.25,0
0.980,26.25,0
0.984,26.25,0
0.987,26.25,0
0.991,26.25,0
0.995,26.25,0
0.999,26.25,0
1.004,26.25,0
1.007,26.25,0
1.011,26.25,0
1.020,26.25,0
1.020,26.25,0
1.028,26.25,0
1.028,26.25,0
1.032,26.25,0
1.035,26.25,0
1.040,26.25,0
1.043,26.25,0
1.047,26.25,0
1.051,26.25,0
1.055,26.25,0
1.059,26.25,0
1.064,26.25,0
1.070,26.25,0
1.071,26.25,0
1.079,26.25,0
1.079,26.25,0
1.083,26.25,0
1.087,26.25,0
1.091,26.25,0
1.095,26.25,0
1.099,26.25,0
1.103,26.25,0
1.108,26.25,0
1.111,26.25,0
1.121,26.25,0
1.121,26.25,0
1.124,26.25,0
1.130,26.25,0
1.134,26.25,0
1.136,26.25,0
1.139,26.25,0
1.143,26.25,0
1.147,26.25,0
1.151,26.25,0
1.156,26.25,0
1.160,26.25,0
1.167,26.25,0
1.171,26.25,0
1.172,26.25,0
1.190,26.25,0
1.193,26.25,0
1.193,26.25,0
1.193,26.25,0
1.193,26.25,0
1.196,26.25,0
1.202,26.25,0
1.207,26.25,0
1.207,26.25,0
1.211,26.25,0
1.220,26.25,0
1.220,26.25,0
1.227,26.25,0
1.230,26.25,0
1.234,26.25,0
1.236,26.25,0
1.240,26.25,0
1.243,26.25,0
1.247,26.25,0
1.251,26.25,0
1.255,26.25,0
1.259,26.25,0
1.263,26.25,0
1.270,26.25,0
1.271,26.25,0
1.276,26.25,0
1.279,26.25,0
1.283,26.25,0
1.287,26.25,0
1.291,26.25,0
1.295,26.25,0
1.299,26.25,0
1.303,26.25,0
1.307,26.25,0
1.311,26.25,0
1.316,26.25,0
1.320,26.25,0
1.324,26.25,0
1.327,26.25,0
1.331,26.25,0
1.335,26.25,0
1.339,26.25,0
1.343,26.25,0
1.347,26.25,0
1.351,26.25,0
1.355,26.25,0
1.359,26.25,0
1.366,26.25,0
1.370,26.25,0
1.372,26.25,0
1.377,26.25,0
1.381,26.25,0
1.383,26.25,0
1.388,26.25,0
1.392,26.25,0
1.396,26.25,0
1.400,26.25,0
1.404,26.25,0
1.408,26.25,0
1.412,26.25,0
1.418,26.25,0
1.420,26.25,0
1.429,26.25,0
1.431,26.25,0
1.438,26.25,0
1.438,26.25,0
1.439,26.25,0
1.449,26.25,0
1.449,26.25,0
1.453,26.25,0
1.455,26.25,0
1.459,26.25,0
1.465,26.50,0
1.470,26.50,0
1.471,26.50,0
1.479,26.50,0
1.479,26.50,0
1.484,26.50,0
1.487,26.50,0
1.491,26.50,0
1.495,26.50,0
1.500,26.50,0
1.504,26.50,0
1.507,26.50,0
1.511,26.50,0
1.521,26.50,0
1.521,26.50,0
1.524,26.50,0
1.529,26.50,0
1.533,26.50,0
1.536,26.50,0
1.540,26.25,0
1.545,26.25,0
