Time(sec),Temperature(C),PWM(%)
0.003,27.00,0
0.006,27.00,0
0.010,27.00,0
0.014,27.00,0
0.018,27.00,0
0.022,27.00,0
0.026,27.00,0
0.030,27.00,0
0.035,27.00,0
0.043,27.00,0
0.047,27.00,0
0.050,27.00,0
0.050,27.00,0
0.055,27.00,0
0.061,27.00,0
0.062,27.00,0
0.068,27.00,0
0.071,27.00,0
0.078,27.00,0
0.078,27.00,0
0.082,27.00,0
0.087,27.00,0
0.091,27.00,0
0.098,27.00,0
0.098,27.00,0
0.105,27.00,0
0.111,27.00,0
0.112,27.00,0
0.114,27.00,0
0.118,27.00,0
0.122,27.00,0
0.126,27.00,0
0.130,27.00,0
0.134,27.00,0
0.138,27.00,0
0.145,27.00,0
0.146,27.00,0
0.151,27.00,0
0.155,27.00,0
0.158,27.00,0
0.166,27.00,0
0.166,27.00,0
0.170,27.00,0
0.174,27.00,0
0.178,27.00,0
0.182,27.00,0
0.186,27.00,0
0.190,27.00,0
0.194,27.00,0
0.198,27.00,0
0.204,27.00,0
0.211,27.00,0
0.211,27.00,0
0.214,27.00,0
0.218,27.00,0
0.222,27.00,0
0.226,27.00,0
0.230,27.00,0
0.234,27.00,0
0.238,27.00,0
0.242,27.00,0
0.248,27.00,0
0.250,27.00,0
0.254,27.00,0
0.259,27.00,0
0.262,27.00,0
0.267,27.00,0
0.270,27.00,0
0.274,27.00,0
0.278,27.00,0
0.282,27.00,0
0.286,27.00,0
0.290,27.00,0
0.296,27.00,0
0.299,27.00,0
0.303,27.00,0
0.307,27.00,0
0.312,27.00,0
0.314,27.00,0
0.318,27.00,0
0.323,27.00,0
0.326,27.00,0
0.330,27.00,0
0.334,27.00,0
0.338,27.00,0
0.342,27.00,0
0.349,27.00,0
0.350,27.00,0
0.355,27.00,0
0.361,27.00,0
0.362,27.00,0
0.366,27.00,0
0.370,27.00,0
0.374,27.00,0
0.378,27.00,0
0.382,27.00,0
0.386,27.00,0
0.390,27.00,0
0.395,27.00,0
0.400,27.00,0
0.404,27.00,0
0.408,27.00,0
0.413,27.00,0
0.414,27.00,0
0.418,27.00,0
0.422,27.00,0
0.426,27.00,0
0.430,27.00,0
0.434,27.00,0
0.438,27.00,0
0.442,27.00,0
0.452,27.00,0
0.452,27.00,0
0.454,27.00,0
0.458,27.00,0
0.463,27.00,0
0.468,27.00,0
0.470,27.00,0
0.474,27.00,0
0.478,27.00,0
0.482,27.00,0
0.486,27.00,0
0.490,27.00,0
0.494,27.00,0
0.501,27.00,0
0.502,27.00,0
0.509,27.00,0
0.510,27.00,0
0.514,27.00,0
0.518,27.00,0
0.522,27.00,0
0.526,27.00,0
0.530,27.00,0
0.534,27.00,0
0.538,27.00,0
0.542,27.00,0
0.549,27.00,0
0.550,27.00,0
0.555,27.00,0
0.561,27.00,0
0.563,27.00,0
0.566,27.00,0
0.570,27.00,0
0.574,27.00,0
0.578,27.00,0
0.582,27.00,0
0.586,27.00,0
0.590,27.00,0
0.594,27.00,0
0.599,27.00,0
0.603,27.00,0
0.607,27.00,0
0.612,27.00,0
0.614,27.00,0
0.618,27.00,0
0.624,27.00,0
0.628,27.00,0
0.631,27.00,0
0.637,27.00,0
0.638,27.00,0
0.642,27.00,0
0.648,27.00,0
0.651,27.00,0
0.657,27.00,0
0.659,27.00,0
0.662,27.00,0
0.667,27.00,0
0.673,27.00,0
0.674,27.00,0
0.678,27.00,0
0.684,27.00,0
0.686,27.00,0
0.691,27.00,0
0.696,27.00,0
0.698,27.00,0
0.706,27.00,0
0.706,27.00,0
0.713,27.00,0
0.714,27.00,0
0.718,27.00,0
0.722,27.00,0
0.726,27.00,0
0.730,27.00,0
0.734,27.00,0
0.738,27.00,0
0.742,27.00,0
0.749,27.00,0
0.750,27.00,0
0.756,27.00,0
0.762,27.00,0
0.762,27.00,0
0.766,27.00,0
0.770,27.00,0
0.774,27.00,0
0.778,27.00,0
0.782,27.00,0
0.786,27.00,0
0.791,27.00,0
0.794,27.00,0
0.800,27.00,0
0.803,27.00,0
0.809,27.00,0
0.813,27.00,0
0.815,27.00,0
0.818,27.00,0
0.822,27.00,0
0.826,27.00,0
0.830,27.00,0
0.834,27.00,0
0.838,27.00,0
0.842,27.00,0
0.850,27.00,0
0.850,27.00,0
0.857,27.00,0
0.858,27.00,0
0.863,27.00,0
0.866,27.00,0
0.870,27.00,0
0.874,27.00,0
0.878,27.00,0
0.882,27.00,0
0.886,27.00,0
0.891,27.00,0
0.895,27.00,0
0.900,27.00,0
0.902,27.00,0
0.908,27.00,0
0.913,27.00,0
0.914,27.00,0
0.918,27.00,0
0.922,27.00,0
0.926,27.00,0
0.930,27.00,0
0.934,27.00,0
0.938,27.00,0
0.942,27.00,0
0.950,27.00,0
0.950,27.00,0
0.958,27.00,0
0.958,27.00,0
0.963,27.00,0
0.966,27.00,0
0.970,27.00,0
0.974,27.00,0
0.978,27.00,0
0.982,27.00,0
0.986,27.00,0
0.990,27.00,0
0.995,27.00,0
1.000,27.00,0
1.003,27.00,0
1.008,27.00,0
1.013,27.00,0
1.015,27.00,0
1.018,27.00,0
1.022,27.00,0
1.026,27.00,0
1.030,27.00,0
1.034,27.00,0
1.038,27.00,0
1.042,27.00,0
1.050,27.00,0
1.050,27.00,0
1.058,27.00,0
1.058,27.00,0
1.063,27.00,0
1.066,27.00,0
1.070,27.00,0
1.074,27.00,0
1.078,27.00,0
1.082,27.00,0
1.086,27.00,0
1.090,27.00,0
1.096,27.00,0
1.100,27.00,0
1.102,27.00,0
1.108,27.00,0
1.113,27.00,0
1.115,27.00,0
1.118,27.00,0
1.122,27.00,0
1.126,27.00,0
1.130,27.00,0
1.134,27.00,0
1.138,27.00,0
1.142,27.00,0
1.150,27.00,0
1.150,27.00,0
1.159,27.00,0
1.159,27.00,0
1.163,27.00,0
1.166,27.00,0
1.170,27.00,0
1.174,27.00,0
1.178,27.00,0
1.182,27.00,0
1.186,27.00,0
1.190,27.00,0
1.195,27.00,0
1.200,27.00,0
1.206,27.00,0
1.207,27.00,0
1.212,27.00,0
1.214,27.00,0
1.218,27.00,0
1.222,27.00,0
1.226,27.00,0
1.230,27.00,0
1.234,27.00,0
1.238,27.00,0
1.242,27.00,0
1.249,27.00,0
1.250,27.00,0
1.256,27.00,0
1.262,27.00,0
1.262,27.00,0
1.266,27.00,0
1.270,27.00,0
1.274,27.00,0
1.278,27.00,0
1.282,27.00,0
1.286,27.00,0
1.291,27.00,0
1.294,27.00,0
1.301,27.00,0
1.302,27.00,0
1.309,27.00,0
1.310,27.00,0
1.314,27.00,0
1.318,27.00,0
1.322,27.00,0
1.326,27.00,0
1.330,27.00,0
1.334,27.00,0
1.338,27.00,0
1.342,27.00,0
1.349,27.00,0
1.350,27.00,0
1.355,27.00,0
1.362,27.00,0
1.362,27.00,0
1.366,27.00,0
1.370,27.00,0
1.374,27.00,0
1.378,27.00,0
1.382,27.00,0
1.386,27.00,0
1.390,27.00,0
1.395,27.00,0
1.400,27.00,0
1.402,27.00,0
1.408,27.00,0
1.413,27.00,0
1.415,27.00,0
1.418,27.00,0
1.422,27.00,0
1.426,27.00,0
1.430,27.00,0
1.434,27.00,0
1.438,27.00,0
1.442,27.00,0
1.450,27.00,0
1.450,27.00,0
1.458,27.00,0
1.458,27.00,0
1.463,27.00,0
1.466,27.00,0
1.470,27.00,0
1.474,27.00,0
1.478,27.00,0
1.482,27.00,0
1.486,27.00,0
1.490,27.00,0
1.495,27.00,0
1.500,27.00,0
1.503,27.00,0
1.508,27.00,0
1.513,27.00,0
1.514,27.00,0
1.518,27.00,0
1.522,27.00,0
1.526,27.00,0
1.530,27.00,0
1.534,27.00,0
1.538,27.00,0
1.542,27.00,0
1.550,27.00,0
1.550,27.00,0
1.556,27.00,0
1.562,27.00,0
1.562,27.00,0
1.566,27.00,0
1.570,27.00,0
1.574,27.00,0
1.578,27.00,0
1.582,27.00,0
1.586,27.00,0
1.590,27.00,0
1.595,27.00,0
1.601,27.00,0
1.602,27.00,0
1.609,27.00,0
1.610,27.00,0
1.614,27.00,0
1.618,27.00,0
1.622,27.00,0
1.626,27.00,0
1.630,27.00,0
1.634,27.00,0
1.638,27.00,0
1.642,27.00,0
1.650,27.00,0
1.650,27.00,0
1.657,27.00,0
1.658,27.00,0
1.663,27.00,0
1.666,27.00,0
1.670,27.00,0
1.674,27.00,0
1.678,27.00,0
1.682,27.00,0
1.686,27.00,0
1.690,27.00,0
1.694,27.00,0
1.700,27.00,0
1.702,27.00,0
1.707,27.00,0
1.713,27.00,0
1.715,27.00,0
1.718,27.00,0
1.723,27.00,0
1.726,27.00,0
1.730,27.00,0
1.734,27.00,0
1.738,27.00,0
1.742,27.00,0
1.750,27.00,0
1.750,27.00,0
1.757,27.00,0
1.762,27.00,0
1.762,27.00,0
1.766,27.00,0
1.770,27.00,0
1.774,27.00,0
1.778,27.00,0
1.782,27.00,0
1.786,27.00,0
1.791,27.00,0
1.794,27.00,0
1.801,27.00,0
1.803,27.00,0
1.808,27.00,0
