Time(sec),Temperature(C),PWM(%)
0.004,27.25,0
0.007,27.25,0
0.011,27.25,0
0.015,27.25,0
0.019,27.25,0
0.023,27.25,0
0.027,27.25,0
0.036,27.25,0
0.037,27.25,0
0.041,27.25,0
0.044,27.25,0
0.053,27.25,0
0.070,27.25,0
0.071,27.25,0
0.071,27.25,0
0.071,27.25,0
0.071,27.25,0
0.071,27.25,0
0.076,27.25,0
0.085,27.25,0
0.085,27.25,0
0.087,27.25,0
0.094,27.25,0
0.096,27.25,0
0.099,27.25,0
0.108,27.25,0
0.108,27.25,0
0.115,27.25,0
0.115,27.25,0
0.122,27.25,0
0.124,27.25,0
0.130,27.25,0
0.133,27.25,0
0.140,27.25,0
0.140,27.25,0
0.147,27.25,0
0.147,27.25,0
0.158,27.25,0
0.158,27.25,0
0.159,27.25,0
0.163,27.25,0
0.167,27.25,0
0.171,27.25,0
0.176,27.25,0
0.181,27.25,0
0.184,27.25,0
0.189,27.25,0
0.193,27.25,0
0.195,27.25,0
0.199,27.25,0
0.207,27.25,0
0.207,27.25,0
0.211,27.25,0
0.215,27.25,0
0.219,27.25,0
0.223,27.25,0
0.229,27.25,0
0.231,27.25,0
0.237,27.25,0
0.241,27.25,0
0.243,27.25,0
0.247,27.25,0
0.251,27.25,0
0.255,27.25,0
0.259,27.25,0
0.263,27.25,0
0.267,27.25,0
0.273,27.25,0
0.276,27.25,0
0.282,27.25,0
0.288,27.25,0
0.288,27.25,0
0.291,27.25,0
0.295,27.25,0
0.299,27.25,0
0.303,27.25,0
0.312,27.25,0
0.315,27.25,0
0.319,27.25,0
0.325,27.25,0
0.327,27.25,0
0.331,27.25,0
0.338,27.25,0
0.340,27.25,0
0.343,27.25,0
0.347,27.25,0
0.351,27.25,0
0.355,27.25,0
0.359,27.25,0
0.363,27.25,0
0.367,27.25,0
0.374,27.25,0
0.375,27.25,0
0.380,27.25,0
0.386,27.25,0
0.388,27.25,0
0.391,27.25,0
0.395,27.25,0
0.400,27.25,0
0.403,27.25,0
0.407,27.25,0
0.411,27.25,0
0.420,27.25,0
0.420,27.50,0
0.426,27.50,0
0.427,27.50,0
0.434,27.50,0
0.440,27.50,0
0.440,27.50,0
0.443,27.50,0
0.447,27.50,0
0.451,27.50,0
0.455,27.50,0
0.459,27.50,0
0.463,27.50,0
0.474,27.50,0
0.474,27.50,0
0.475,27.50,0
0.480,27.50,0
0.486,27.50,0
0.488,27.50,0
0.492,27.50,0
0.501,27.25,0
0.501,27.25,0
0.508,27.25,0
0.508,27.25,0
0.511,27.25,0
0.522,27.25,0
0.523,27.25,0
0.527,27.25,0
0.532,27.25,0
0.535,27.25,0
0.539,27.25,0
0.543,27.25,0
0.547,27.25,0
0.551,27.25,0
0.555,27.25,0
0.559,27.25,0
0.563,27.25,0
0.570,27.25,0
0.573,27.25,0
0.576,27.25,0
0.579,27.25,0
0.584,27.25,0
