Time(sec),Temperature(C),PWM(%)
0.002,27.25,0
0.008,27.25,0
0.010,27.25,0
0.014,27.25,0
0.018,27.25,0
0.022,27.25,0
0.026,27.25,0
0.030,27.25,0
0.034,27.25,0
0.038,27.25,0
0.042,27.25,0
0.046,27.25,0
0.050,27.25,0
0.056,27.25,0
0.058,27.25,0
0.066,27.25,0
0.080,27.25,0
0.081,27.25,0
0.081,27.25,0
0.081,27.25,0
0.082,27.25,0
0.086,27.25,0
0.091,27.25,0
0.098,27.25,0
0.098,27.25,0
0.110,27.25,0
0.110,27.25,0
0.110,27.25,0
0.114,27.25,0
0.118,27.25,0
0.125,27.25,0
0.130,27.25,0
0.130,27.25,0
0.140,27.25,0
0.140,27.25,0
0.145,27.25,0
0.147,27.25,0
0.150,27.25,0
0.154,27.25,0
0.162,27.25,0
0.162,27.25,0
0.168,27.25,0
0.170,27.25,0
0.174,27.25,0
0.178,27.25,0
0.183,27.25,0
0.186,27.25,0
0.190,27.25,0
0.194,27.25,0
0.198,27.25,0
0.202,27.25,0
0.209,27.25,0
0.213,27.25,0
0.215,27.25,0
0.226,27.25,0
0.226,27.25,0
0.227,27.25,0
0.233,27.25,0
0.239,27.25,0
0.239,27.25,0
0.245,27.25,0
0.247,27.25,0
0.250,27.25,0
0.254,27.25,0
0.259,27.25,0
0.262,27.25,0
0.268,27.25,0
0.274,27.25,0
0.274,27.25,0
0.278,27.25,0
0.282,27.25,0
0.286,27.25,0
0.290,27.25,0
0.294,27.25,0
0.298,27.25,0
0.302,27.25,0
0.310,27.25,0
0.313,27.25,0
0.318,27.25,0
0.322,27.25,0
0.323,27.25,0
0.336,27.25,0
0.336,27.25,0
0.337,27.25,0
0.338,27.25,0
0.342,27.25,0
0.347,27.25,0
0.355,27.25,0
0.355,27.25,0
0.361,27.25,0
0.362,27.25,0
0.366,27.25,0
0.370,27.25,0
0.375,27.25,0
0.378,27.25,0
0.385,27.25,0
0.386,27.25,0
0.390,27.25,0
0.394,27.25,0
0.398,27.25,0
0.402,27.25,0
0.406,27.25,0
0.417,27.25,0
0.417,27.25,0
0.418,27.25,0
0.424,27.25,0
0.428,27.25,0
0.432,27.25,0
0.434,27.25,0
0.438,27.25,0
0.442,27.25,0
0.447,27.25,0
0.452,27.25,0
0.455,27.25,0
0.466,27.25,0
0.466,27.25,0
0.466,27.25,0
0.478,27.25,0
0.478,27.25,0
0.478,27.25,0
0.485,27.25,0
0.487,27.25,0
0.490,27.25,0
0.494,27.25,0
0.500,27.25,0
0.509,27.25,0
0.509,27.25,0
0.511,27.25,0
0.514,27.25,0
0.518,27.25,0
0.523,27.25,0
0.528,27.25,0
0.530,27.25,0
0.540,27.25,0
0.542,27.25,0
0.546,27.25,0
0.550,27.25,0
0.554,27.25,0
0.558,27.25,0
0.562,27.25,0
0.566,27.25,0
0.570,27.25,0
0.574,27.25,0
0.578,27.25,0
0.582,27.25,0
0.587,27.25,0
0.591,27.25,0
0.597,27.25,0
0.598,27.25,0
0.602,27.25,0
0.606,27.25,0
0.612,27.25,0
0.614,27.25,0
0.618,27.25,0
0.622,27.25,0
0.626,27.25,0
0.630,27.25,0
0.634,27.25,0
0.640,27.25,0
0.645,27.25,0
0.653,27.25,0
0.659,27.25,0
0.660,27.25,0
0.660,27.25,0
0.669,27.25,0
0.669,27.25,0
0.671,27.25,0
0.674,27.25,0
0.683,27.25,0
0.683,27.25,0
0.690,27.25,0
0.690,27.25,0
0.695,27.25,0
0.700,27.25,0
0.702,27.25,0
0.709,27.25,0
0.713,27.25,0
0.715,27.25,0
0.722,27.25,0
0.722,27.25,0
0.726,27.25,0
0.730,27.25,0
0.734,27.25,0
0.738,27.25,0
0.746,27.25,0
0.746,27.25,0
0.754,27.25,0
0.754,27.25,0
0.760,27.25,0
0.762,27.25,0
0.766,27.25,0
0.770,27.25,0
0.774,27.25,0
0.778,27.25,0
0.782,27.25,0
0.786,27.25,0
0.790,27.25,0
0.795,27.25,0
0.799,27.25,0
0.805,27.25,0
0.808,27.25,0
0.816,27.25,0
0.821,27.25,0
0.821,27.25,0
0.822,27.25,0
0.826,27.25,0
0.830,27.25,0
0.836,27.25,0
0.839,27.25,0
0.851,27.25,0
0.851,27.25,0
0.854,27.25,0
0.860,27.25,0
0.865,27.25,0
0.867,27.25,0
0.870,27.25,0
0.874,27.25,0
0.878,27.25,0
0.882,27.25,0
0.886,27.25,0
0.890,27.25,0
0.894,27.25,0
0.899,27.25,0
0.909,27.25,0
0.911,27.25,0
0.918,27.25,0
0.918,27.25,0
0.919,27.25,0
0.928,27.25,0
0.928,27.25,0
0.930,27.25,0
0.944,27.25,0
0.944,27.25,0
0.944,27.25,0
0.950,27.25,0
0.951,27.25,0
0.954,27.25,0
0.964,27.25,0
0.964,27.25,0
0.971,27.25,0
0.971,27.25,0
0.976,27.25,0
0.978,27.25,0
0.982,27.25,0
0.986,27.25,0
0.990,27.25,0
0.994,27.25,0
0.998,27.25,0
1.005,27.25,0
1.010,27.25,0
1.014,27.25,0
1.015,27.25,0
1.023,27.25,0
1.023,27.25,0
1.029,27.25,0
1.033,27.25,0
1.034,27.25,0
1.039,27.25,0
1.043,27.25,0
1.046,27.25,0
1.050,27.25,0
1.055,27.25,0
1.061,27.25,0
1.062,27.25,0
1.067,27.25,0
1.074,27.25,0
1.074,27.25,0
1.078,27.25,0
1.082,27.25,0
1.086,27.25,0
1.090,27.25,0
1.094,27.25,0
1.098,27.25,0
1.102,27.25,0
1.106,27.25,0
1.112,27.25,0
1.119,27.25,0
1.119,27.25,0
1.125,27.25,0
1.127,27.25,0
1.133,27.25,0
1.134,27.25,0
1.138,27.25,0
1.142,27.25,0
1.146,27.25,0
1.150,27.25,0
1.154,27.25,0
1.159,27.25,0
1.163,27.25,0
1.171,27.25,0
1.171,27.25,0
1.177,27.25,0
1.178,27.25,0
1.182,27.25,0
1.186,27.25,0
1.190,27.25,0
1.194,27.25,0
1.198,27.25,0
1.202,27.25,0
1.207,27.25,0
1.213,27.25,0
1.214,27.25,0
1.221,27.25,0
1.222,27.25,0
1.226,27.25,0
1.230,27.25,0
1.234,27.25,0
1.238,27.25,0
1.242,27.25,0
1.246,27.25,0
1.250,27.25,0
1.254,27.25,0
1.258,27.25,0
1.263,27.25,0
1.268,27.25,0
1.271,27.25,0
1.276,27.25,0
1.278,27.25,0
1.282,27.25,0
1.286,27.25,0
1.290,27.25,0
1.294,27.25,0
1.298,27.25,0
1.302,27.25,0
1.306,27.25,0
