Time(sec),Temperature(C),PWM(%)
0.000,27.00,0
0.004,27.00,0
0.008,27.00,0
0.012,27.00,0
0.016,27.00,0
0.020,27.00,0
0.024,27.00,0
0.028,27.00,0
0.032,27.00,0
0.036,27.00,0
0.040,27.00,0
0.048,27.00,0
0.048,27.00,0
0.053,27.00,0
0.061,27.00,0
0.061,27.00,0
0.065,27.00,0
0.068,27.00,0
0.073,27.00,0
0.076,27.00,0
0.080,27.00,0
0.084,27.00,0
0.088,27.00,0
0.092,27.00,0
0.096,27.00,0
0.101,27.00,0
0.106,27.00,0
0.109,27.00,0
0.113,27.00,0
0.117,27.00,0
0.130,27.00,0
0.130,27.00,0
0.130,26.75,0
0.133,26.75,0
0.139,26.75,0
0.140,26.75,0
0.145,26.75,0
0.149,26.75,0
0.154,26.75,0
0.157,26.75,0
0.164,26.75,0
0.164,26.75,0
0.170,26.75,0
0.178,26.75,0
0.178,26.75,0
0.180,26.75,0
0.184,26.75,0
0.189,26.75,0
0.194,26.75,0
0.197,26.75,0
0.200,26.75,0
0.204,27.00,0
0.209,27.00,0
0.215,27.00,0
0.216,27.00,0
0.221,27.00,0
0.227,27.00,0
0.229,27.00,0
0.233,27.00,0
0.238,27.00,0
0.240,27.00,0
0.244,27.00,0
0.248,27.00,0
0.252,27.00,0
0.256,27.00,0
0.261,27.00,0
0.264,27.00,0
0.270,27.00,0
0.275,27.00,0
0.277,27.00,0
0.280,27.00,0
0.284,27.00,0
0.288,27.00,0
0.292,27.00,0
0.296,27.00,0
0.300,27.00,0
0.304,27.00,0
0.308,27.00,0
0.312,27.00,0
0.317,27.00,0
0.320,27.00,0
0.324,27.00,0
0.328,27.00,0
0.337,27.00,0
0.340,27.00,0
0.344,27.00,0
0.348,27.00,0
0.352,27.00,0
0.356,27.00,0
0.360,27.00,0
0.365,27.00,0
0.371,27.00,0
0.373,27.00,0
0.377,27.00,0
0.380,27.00,0
0.385,27.00,0
0.388,27.00,0
0.392,27.00,0
0.396,27.00,0
0.400,27.00,0
0.404,27.00,0
0.408,27.00,0
0.412,27.00,0
0.417,27.00,0
0.425,27.00,0
0.425,27.00,0
0.429,27.00,0
0.432,27.00,0
0.436,27.00,0
0.444,27.00,0
0.448,27.00,0
0.452,27.00,0
0.456,27.00,0
0.460,27.00,0
0.464,27.00,0
0.472,27.00,0
0.473,27.00,0
0.476,27.00,0
0.481,27.00,0
0.484,27.00,0
0.488,27.00,0
0.492,27.00,0
0.496,27.00,0
0.500,27.00,0
0.504,27.00,0
0.508,27.00,0
0.512,27.00,0
0.517,27.00,0
0.520,27.00,0
0.528,27.00,0
0.528,27.00,0
0.533,27.00,0
0.540,27.00,0
0.540,27.00,0
0.544,27.00,0
0.549,27.00,0
0.553,27.00,0
0.556,27.00,0
0.560,27.00,0
0.567,27.00,0
0.569,27.00,0
0.579,27.00,0
0.579,27.00,0
0.588,27.00,0
0.588,27.00,0
0.588,27.00,0
0.594,27.00,0
0.597,27.00,0
0.602,27.00,0
0.604,27.00,0
0.608,27.00,0
0.612,27.00,0
0.620,27.00,0
0.626,27.00,0
0.629,27.00,0
0.633,27.00,0
0.637,27.00,0
0.640,27.00,0
0.644,27.00,0
0.648,27.00,0
0.652,27.00,0
0.656,27.00,0
0.660,27.00,0
0.664,27.00,0
0.671,27.00,0
0.673,27.00,0
0.677,27.00,0
0.680,27.00,0
0.684,27.00,0
0.688,27.00,0
0.692,27.00,0
0.696,27.00,0
0.700,27.00,0
0.704,27.00,0
0.708,27.00,0
0.712,27.00,0
0.721,27.00,0
0.726,27.00,0
0.729,27.00,0
0.733,27.00,0
0.736,27.00,0
0.740,27.00,0
0.744,27.00,0
0.748,27.00,0
0.752,27.00,0
0.756,27.00,0
0.760,27.00,0
0.764,27.00,0
0.769,27.00,0
0.774,27.00,0
0.776,27.00,0
0.781,27.00,0
0.786,27.00,0
0.788,27.00,0
0.792,27.00,0
0.796,27.00,0
0.800,27.00,0
0.804,27.00,0
0.808,27.00,0
0.812,27.00,0
0.820,27.00,0
0.820,27.00,0
0.826,27.00,0
0.828,27.00,0
0.832,27.00,0
0.836,27.00,0
0.841,27.00,0
0.844,27.00,0
0.848,27.00,0
0.852,27.00,0
0.856,27.00,0
0.860,27.00,0
0.864,27.00,0
0.868,27.00,0
0.873,27.00,0
0.879,27.00,0
0.880,27.00,0
0.885,27.00,0
0.888,27.00,0
0.892,27.00,0
0.896,27.00,0
0.900,27.00,0
0.904,27.00,0
0.908,27.00,0
0.912,27.00,0
0.920,27.00,0
0.920,27.00,0
0.929,27.00,0
0.929,27.00,0
0.933,27.00,0
0.936,27.00,0
0.940,27.00,0
0.944,27.00,0
0.948,27.00,0
0.952,27.00,0
0.956,27.00,0
0.960,27.00,0
0.965,27.00,0
0.969,27.00,0
0.973,27.00,0
0.978,27.00,0
0.983,27.00,0
0.984,27.00,0
0.988,27.00,0
0.996,27.00,0
0.996,27.00,0
1.000,27.00,0
1.004,27.00,0
1.012,27.00,0
1.013,27.00,0
1.017,27.00,0
1.020,27.00,0
1.024,27.00,0
1.030,27.00,0
1.033,27.00,0
1.040,27.00,0
1.040,27.00,0
1.044,27.00,0
1.051,27.00,0
1.053,27.00,0
1.056,27.00,0
1.060,27.00,0
1.064,27.00,0
1.071,27.00,0
1.072,27.00,0
1.077,27.00,0
1.080,27.00,0
1.085,27.00,0
1.088,27.00,0
1.092,27.00,0
1.096,26.75,0
1.100,26.75,0
1.104,26.75,0
1.108,26.75,0
1.112,26.75,0
1.122,26.75,0
1.124,26.75,0
1.130,26.75,0
1.134,26.75,0
1.136,26.75,0
1.140,26.75,0
1.144,26.75,0
1.148,26.75,0
1.152,26.75,0
1.156,26.75,0
1.160,26.75,0
1.164,26.75,0
1.168,26.75,0
1.173,26.75,0
1.181,26.75,0
1.181,26.75,0
1.185,26.75,0
1.188,26.75,0
1.192,26.75,0
1.196,26.75,0
1.200,26.75,0
1.204,26.75,0
1.208,26.75,0
1.212,26.75,0
1.221,26.75,0
1.226,26.75,0
1.229,26.75,0
1.232,26.75,0
1.236,26.75,0
1.240,26.75,0
1.244,27.00,0
1.248,27.00,0
1.252,27.00,0
1.256,27.00,0
1.260,27.00,0
1.264,27.00,0
1.271,27.00,0
1.272,27.00,0
1.276,27.00,0
1.283,27.00,0
1.284,27.00,0
1.288,27.00,0
1.292,27.00,0
1.297,27.00,0
1.301,27.00,0
1.304,27.00,0
1.309,27.00,0
1.313,27.00,0
1.322,27.00,0
1.330,27.00,0
1.331,27.00,0
1.333,27.00,0
1.345,27.00,0
1.345,27.00,0
1.346,27.00,0
1.348,27.00,0
1.356,27.00,0
1.357,27.00,0
1.362,27.00,0
1.364,27.00,0
1.368,27.00,0
1.373,27.00,0
1.379,27.00,0
1.383,27.00,0
1.385,27.00,0
1.388,27.00,0
1.392,26.75,0
1.396,26.75,0
1.400,26.75,0
1.404,26.75,0
1.408,26.75,0
1.412,26.75,0
1.422,26.75,0
1.424,26.75,0
1.430,26.75,0
1.434,26.75,0
1.436,26.75,0
1.440,26.75,0
1.444,26.75,0
1.448,26.75,0
1.452,26.75,0
1.456,26.75,0
1.460,26.75,0
1.464,26.75,0
1.471,27.00,0
1.472,27.00,0
1.479,27.00,0
1.483,27.00,0
1.484,27.00,0
1.488,27.00,0
1.492,27.00,0
1.496,27.00,0
1.500,27.00,0
1.504,27.00,0
1.508,27.00,0
1.512,27.00,0
1.521,27.00,0
1.521,27.00,0
1.524,27.00,0
1.529,27.00,0
1.533,27.00,0
1.536,27.00,0
1.540,27.00,0
1.544,27.00,0
1.549,27.00,0
1.553,27.00,0
1.557,27.00,0
1.560,27.00,0
1.568,27.00,0
1.569,27.00,0
1.573,27.00,0
1.581,27.00,0
1.583,27.00,0
1.590,27.00,0
1.592,27.00,0
1.592,27.00,0
1.597,27.00,0
1.601,27.00,0
1.606,27.00,0
1.609,27.00,0
1.612,27.00,0
1.622,27.00,0
1.624,27.00,0
1.629,27.00,0
1.633,27.00,0
1.636,27.00,0
1.640,27.00,0
1.644,27.00,0
1.648,27.00,0
1.652,27.00,0
1.656,27.00,0
1.660,27.00,0
1.664,27.00,0
1.668,27.00,0
1.672,27.00,0
1.677,27.00,0
1.680,27.00,0
1.684,27.00,0
1.688,27.00,0
1.692,27.00,0
1.696,27.00,0
1.700,27.00,0
1.704,27.00,0
1.708,27.00,0
1.712,27.00,0
1.723,27.00,0
1.724,27.00,0
1.731,27.00,0
1.735,27.00,0
1.737,27.00,0
1.740,27.00,0
1.744,27.00,0
1.748,27.00,0
1.752,27.00,0
1.756,27.00,0
1.760,27.00,0
1.764,27.00,0
1.774,27.00,0
1.774,27.00,0
1.776,27.00,0
1.781,27.00,0
1.786,27.00,0
1.788,27.00,0
1.792,27.00,0
1.796,27.00,0
1.800,27.00,0
1.804,27.00,0
1.808,27.00,0
1.812,27.00,0
1.821,27.00,0
1.821,27.00,0
1.829,27.00,0
1.829,27.00,0
1.833,27.00,0
1.836,27.00,0
1.840,27.00,0
1.844,27.00,0
1.848,27.00,0
1.852,27.00,0
1.857,27.00,0
1.860,27.00,0
1.864,27.00,0
1.868,27.00,0
1.874,27.00,0
1.876,27.00,0
1.881,27.00,0
1.886,27.00,0
1.888,27.00,0
1.892,27.00,0
1.896,27.00,0
1.900,27.00,0
1.904,27.00,0
1.908,27.00,0
1.912,26.75,0
1.921,26.75,0
1.921,26.75,0
1.924,26.75,0
1.930,26.75,0
1.934,26.75,0
1.936,26.75,0
1.940,26.75,0
1.944,26.75,0
1.948,26.75,0
1.952,26.75,0
1.956,26.75,0
1.960,26.75,0
1.964,26.75,0
1.969,26.75,0
1.974,26.75,0
1.976,26.75,0
1.982,26.75,0
1.988,26.75,0
1.988,27.00,0
1.992,27.00,0
1.996,27.00,0
2.000,27.00,0
2.004,27.00,0
2.008,27.00,0
2.012,27.00,0
2.022,27.00,0
2.024,27.00,0
2.030,27.00,0
2.034,27.00,0
2.037,27.00,0
2.040,27.00,0
2.044,27.00,0
2.048,27.00,0
2.052,27.00,0
2.056,27.00,0
2.060,27.00,0
2.064,27.00,0
2.068,27.00,0
2.072,27.00,0
2.077,27.00,0
2.080,27.00,0
2.084,27.00,0
2.088,27.00,0
2.092,27.00,0
2.096,27.00,0
2.100,27.00,0
2.104,27.00,0
2.108,27.00,0
2.112,27.00,0
2.124,27.00,0
2.124,27.00,0
2.131,27.00,0
2.135,27.00,0
2.137,27.00,0
2.140,27.00,0
2.144,27.00,0
2.148,27.00,0
2.152,27.00,0
2.156,27.00,0
2.160,27.00,0
2.164,27.00,0
2.173,27.00,0
2.173,27.00,0
2.177,27.00,0
2.181,27.00,0
2.185,27.00,0
2.188,27.00,0
2.192,27.00,0
2.196,27.00,0
2.200,27.00,0
2.204,27.00,0
2.208,27.00,0
2.212,27.00,0
2.222,27.00,0
2.222,27.00,0
2.224,27.00,0
2.230,27.00,0
2.234,27.00,0
2.236,27.00,0
2.240,27.00,0
2.244,27.00,0
2.248,27.00,0
2.252,27.00,0
2.256,27.00,0
2.260,27.00,0
2.264,27.00,0
2.269,27.00,0
2.274,27.00,0
2.281,27.00,0
2.281,27.00,0
2.286,27.00,0
2.288,27.00,0
2.292,27.00,0
2.296,27.00,0
2.300,27.00,0
2.304,27.00,0
2.308,27.00,0
2.312,27.00,0
2.323,27.00,0
2.324,27.00,0
2.330,27.00,0
2.334,27.00,0
2.337,27.00,0
2.340,27.00,0
2.344,27.00,0
2.348,27.00,0
2.352,27.00,0
2.356,27.00,0
2.360,27.00,0
2.364,27.00,0
2.368,27.00,0
2.373,27.00,0
2.377,27.00,0
2.383,27.00,0
2.385,27.00,0
2.388,27.00,0
2.392,27.00,0
2.396,27.00,0
2.400,27.00,0
2.404,27.00,0
2.408,27.00,0
2.412,27.00,0
2.425,27.00,0
2.425,27.00,0
2.429,27.00,0
2.433,27.00,0
2.438,27.00,0
2.440,27.00,0
2.444,27.00,0
2.448,27.00,0
2.452,27.00,0
2.456,27.00,0
2.460,27.00,0
2.464,27.00,0
2.470,27.00,0
2.476,27.00,0
2.476,27.00,0
2.481,27.00,0
2.485,27.00,0
2.491,27.00,0
2.493,27.00,0
2.496,27.00,0
2.500,27.00,0
2.504,27.00,0
2.509,27.00,0
2.512,27.00,0
2.521,27.00,0
2.523,27.00,0
2.528,27.00,0
2.531,27.00,0
2.533,27.00,0
2.540,27.00,0
2.540,27.00,0
2.546,27.00,0
2.549,27.00,0
2.553,27.00,0
2.556,27.00,0
2.560,27.00,0
2.565,27.00,0
2.570,27.00,0
2.573,27.00,0
2.576,27.00,0
2.583,26.75,0
2.585,26.75,0
2.588,26.75,0
2.592,26.75,0
2.596,26.75,0
2.600,26.75,0
2.604,26.75,0
2.608,26.75,0
2.612,26.75,0
2.622,26.75,0
2.624,26.75,0
2.629,26.75,0
2.634,26.75,0
2.636,26.75,0
