Time(sec),Temperature(C),PWM(%)
0.003,33.75,0
0.008,33.75,0
0.012,33.75,0
0.015,33.75,0
0.030,33.75,0
0.030,33.75,0
0.030,33.75,0
0.031,33.75,0
0.035,33.75,0
0.044,33.75,0
0.044,33.75,0
0.050,33.75,0
0.051,33.75,0
0.055,33.75,0
0.059,33.75,0
0.063,33.75,0
0.070,33.75,0
0.071,33.75,0
0.078,33.75,0
0.079,33.75,0
0.083,33.75,0
0.087,33.75,0
0.091,33.75,0
0.095,33.75,0
0.103,33.75,0
0.107,33.75,0
0.111,33.75,0
0.119,33.75,0
0.119,33.75,0
0.127,33.75,0
0.130,33.75,0
0.136,33.75,0
0.136,33.75,0
0.145,33.75,0
0.145,33.75,0
0.147,33.75,0
0.155,33.75,0
0.155,33.75,0
0.161,33.75,0
0.163,33.75,0
0.168,33.75,0
0.176,33.75,0
0.176,33.75,0
0.179,33.75,0
0.183,33.75,0
0.187,33.75,0
0.191,33.75,0
0.197,33.75,0
0.199,33.75,0
0.203,33.75,0
0.207,33.75,0
0.211,33.75,0
0.215,33.75,0
0.219,33.75,0
0.226,33.75,0
0.227,33.75,0
0.233,33.75,0
0.238,33.75,0
0.240,33.75,0
0.243,33.75,0
0.247,33.75,0
0.251,33.75,0
0.255,33.75,0
0.259,33.75,0
0.263,33.75,0
0.267,33.75,0
0.271,33.75,0
0.276,33.75,0
0.280,33.75,0
0.283,33.75,0
0.287,33.75,0
0.295,33.75,0
0.299,33.75,0
0.303,33.75,0
0.307,33.75,0
0.311,33.75,0
0.315,33.75,0
0.320,33.75,0
0.324,33.75,0
0.329,33.75,0
0.331,33.75,0
0.335,33.75,0
0.340,33.75,0
0.343,33.75,0
0.347,33.75,0
0.351,33.75,0
0.355,33.75,0
0.359,33.75,0
0.363,33.75,0
0.367,33.75,0
0.372,33.75,0
0.376,33.75,0
0.380,33.75,0
0.383,33.75,0
0.387,33.75,0
0.391,33.75,0
0.396,33.75,0
0.399,33.75,0
0.403,33.75,0
0.407,33.75,0
0.411,33.75,0
0.415,33.75,0
0.419,33.75,0
0.423,33.75,0
0.428,33.75,0
0.431,33.75,0
0.436,33.75,0
0.441,33.75,0
0.443,33.75,0
0.447,33.75,0
0.451,33.75,0
0.455,33.75,0
0.459,33.75,0
0.463,33.75,0
0.467,33.75,0
0.477,33.75,0
0.477,33.75,0
0.479,33.75,0
0.484,33.75,0
0.488,33.75,0
0.491,33.75,0
0.497,33.75,0
0.499,33.75,0
0.503,33.75,0
0.507,33.75,0
0.511,33.75,0
0.515,33.75,0
0.520,33.75,0
0.527,33.75,0
0.527,33.75,0
0.532,33.75,0
0.536,33.75,0
0.539,33.75,0
0.543,33.75,0
0.547,33.75,0
0.551,33.75,0
0.555,33.75,0
0.559,33.75,0
0.563,33.75,0
0.567,33.75,0
0.572,33.75,0
0.577,33.75,0
0.579,33.75,0
0.583,33.75,0
0.588,33.75,0
0.591,33.75,0
0.597,33.75,0
0.599,33.75,0
0.603,33.75,0
0.607,33.75,0
0.611,33.75,0
0.615,33.75,0
0.619,33.75,0
0.626,33.75,0
0.627,33.75,0
0.632,33.75,0
0.636,33.75,0
0.639,33.75,0
0.643,33.75,0
0.647,33.75,0
0.651,33.75,0
0.655,33.75,0
0.659,33.75,0
0.663,33.75,0
0.667,33.75,0
0.677,33.75,0
0.677,33.75,0
0.679,33.75,0
0.683,33.75,0
0.687,33.75,0
0.691,33.75,0
0.695,33.75,0
0.699,33.75,0
0.703,33.75,0
0.707,33.75,0
0.711,33.75,0
0.715,33.75,0
0.720,33.75,0
0.723,33.75,0
0.728,33.75,0
0.733,33.75,0
0.738,33.75,0
0.739,33.75,0
0.743,33.75,0
0.747,33.75,0
0.751,33.75,0
0.755,33.75,0
0.759,33.75,0
0.763,33.75,0
0.767,33.75,0
0.777,33.75,0
0.777,33.75,0
0.779,33.75,0
0.783,33.75,0
0.788,33.75,0
0.791,33.75,0
0.795,33.75,0
0.799,33.75,0
0.803,33.75,0
0.807,33.75,0
0.811,33.75,0
0.815,33.75,0
0.819,33.75,0
0.827,33.75,0
0.827,33.75,0
0.831,33.75,0
0.838,33.75,0
0.839,33.75,0
0.843,33.75,0
0.847,33.75,0
0.851,33.75,0
0.855,33.75,0
0.859,33.75,0
0.863,33.75,0
0.867,33.75,0
0.878,33.75,0
0.878,33.75,0
0.879,33.75,0
0.884,33.75,0
0.889,33.75,0
0.891,33.75,0
0.895,33.75,0
0.899,33.75,0
0.903,33.75,0
0.907,33.75,0
0.911,33.75,0
0.915,33.75,0
0.919,33.75,0
0.923,33.75,0
0.928,33.75,0
0.934,33.75,0
0.935,33.75,0
0.939,33.75,0
0.943,33.75,0
0.947,33.75,0
0.951,33.75,0
0.955,33.75,0
0.959,33.75,0
0.963,33.75,0
0.967,33.75,0
0.979,33.75,0
0.979,33.75,0
0.980,33.75,0
0.985,33.75,0
0.993,33.75,0
0.996,33.75,0
0.996,33.75,0
1.000,33.75,0
1.005,33.75,0
1.010,33.75,0
1.011,33.75,0
1.015,33.75,0
1.019,33.75,0
1.027,33.75,0
1.027,33.75,0
1.033,33.75,0
1.038,33.75,0
1.040,33.75,0
1.043,33.75,0
1.047,33.75,0
1.051,33.75,0
1.055,33.75,0
1.059,33.75,0
1.063,33.75,0
1.067,33.75,0
1.077,33.75,0
1.077,33.75,0
1.079,33.75,0
1.084,33.75,0
1.089,33.75,0
1.091,33.75,0
1.095,33.75,0
1.099,33.75,0
1.103,33.75,0
1.107,33.75,0
1.111,33.75,0
1.115,33.75,0
1.120,33.75,0
1.123,33.75,0
1.128,33.75,0
1.135,33.75,0
1.135,33.75,0
1.140,33.75,0
1.143,33.75,0
1.147,33.75,0
1.151,33.75,0
1.155,33.75,0
1.159,33.75,0
1.163,33.75,0
1.167,33.75,0
1.177,33.75,0
1.177,33.75,0
1.179,33.75,0
1.183,33.75,0
1.188,33.75,0
1.191,33.75,0
1.195,33.75,0
1.199,33.50,0
1.203,33.50,0
1.207,33.50,0
1.211,33.50,0
1.215,33.50,0
1.224,33.50,0
1.224,33.50,0
1.227,33.50,0
1.236,33.50,0
1.236,33.50,0
1.248,33.50,0
1.248,33.50,0
1.248,33.50,0
1.256,33.50,0
1.256,33.50,0
1.262,33.50,0
1.263,33.50,0
1.268,33.50,0
1.273,33.50,0
1.278,33.50,0
1.279,33.50,0
1.283,33.50,0
1.287,33.50,0
1.291,33.50,0
1.298,33.50,0
1.299,33.50,0
1.304,33.50,0
1.309,33.50,0
1.311,33.50,0
1.315,33.50,0
1.319,33.50,0
1.326,33.50,0
1.327,33.50,0
1.332,33.50,0
1.335,33.50,0
1.339,33.50,0
1.343,33.50,0
1.347,33.50,0
1.351,33.50,0
1.355,33.50,0
1.359,33.50,0
1.363,33.50,0
1.367,33.50,0
1.376,33.50,0
1.376,33.50,0
1.379,33.50,0
1.383,33.50,0
1.387,33.50,0
1.391,33.50,0
1.395,33.50,0
1.399,33.50,0
1.403,33.50,0
1.407,33.50,0
1.411,33.50,0
1.415,33.50,0
1.419,33.50,0
1.425,33.50,0
1.427,33.50,0
1.432,33.50,0
1.436,33.50,0
1.439,33.50,0
1.443,33.50,0
1.447,33.50,0
1.451,33.50,0
1.455,33.50,0
1.459,33.50,0
1.463,33.50,0
1.467,33.50,0
1.477,33.50,0
1.477,33.50,0
1.479,33.50,0
1.484,33.50,0
1.488,33.50,0
1.491,33.50,0
1.495,33.50,0
1.499,33.50,0
1.503,33.50,0
1.507,33.50,0
1.511,33.50,0
1.515,33.50,0
1.519,33.50,0
1.526,33.50,0
1.527,33.50,0
1.532,33.50,0
1.536,33.50,0
1.539,33.50,0
1.543,33.50,0
1.547,33.50,0
1.551,33.50,0
1.555,33.50,0
1.559,33.50,0
1.563,33.50,0
1.567,33.50,0
1.576,33.50,0
1.577,33.50,0
1.584,33.50,0
1.586,33.50,0
1.592,33.50,0
1.598,33.50,0
1.598,33.50,0
1.599,33.50,0
1.608,33.50,0
1.608,33.50,0
1.614,33.50,0
1.615,33.50,0
1.620,33.50,0
1.623,33.50,0
1.628,33.50,0
1.632,33.50,0
1.635,33.50,0
1.639,33.50,0
1.643,33.50,0
1.647,33.50,0
1.651,33.50,0
1.655,33.50,0
1.659,33.50,0
1.663,33.50,0
1.667,33.50,0
1.679,33.50,0
1.679,33.50,0
1.688,33.50,0
1.688,33.50,0
1.691,33.50,0
1.695,33.50,0
1.699,33.50,0
1.703,33.50,0
1.707,33.50,0
1.711,33.50,0
1.715,33.50,0
1.719,33.50,0
1.723,33.50,0
1.727,33.50,0
1.731,33.50,0
1.738,33.50,0
1.740,33.50,0
1.743,33.50,0
1.747,33.50,0
1.751,33.50,0
1.755,33.50,0
1.759,33.50,0
1.763,33.50,0
1.767,33.50,0
1.777,33.50,0
1.777,33.50,0
1.779,33.50,0
1.784,33.50,0
1.789,33.50,0
1.792,33.50,0
1.795,33.25,0
1.799,33.25,0
1.803,33.25,0
