Time(sec),Temperature(C),PWM(%)
0.002,37.50,0
0.005,37.50,0
0.009,37.50,0
0.013,37.50,0
0.018,37.50,0
0.021,37.50,0
0.025,37.50,0
0.030,37.50,0
0.033,37.50,0
0.038,37.50,0
0.041,37.50,0
0.049,37.50,0
0.052,37.50,0
0.054,37.50,0
0.060,37.50,0
0.065,37.50,0
0.065,37.50,0
0.070,37.50,0
0.073,37.50,0
0.077,37.50,0
0.082,37.50,0
0.085,37.50,0
0.089,37.50,0
0.096,37.50,0
0.097,37.50,0
0.104,37.50,0
0.109,37.50,0
0.110,37.50,0
0.113,37.50,0
0.117,37.50,0
0.121,37.50,0
0.125,37.50,0
0.129,37.50,0
0.134,37.50,0
0.137,37.50,0
0.144,37.50,0
0.145,37.50,0
0.150,37.50,0
0.156,37.50,0
0.158,37.50,0
0.161,37.50,0
0.165,37.50,0
0.169,37.50,0
0.173,37.50,0
0.177,37.50,0
0.182,37.50,0
0.185,37.50,0
0.193,37.50,0
0.193,37.50,0
0.199,37.50,0
0.205,37.50,0
0.205,37.50,0
0.209,37.50,0
0.214,37.50,0
0.217,37.50,0
0.221,37.50,0
0.226,37.50,0
0.229,37.50,0
0.241,37.50,0
0.241,37.50,0
0.241,37.50,0
0.246,37.50,0
0.250,37.50,0
0.254,37.50,0
0.257,37.50,0
0.262,37.50,0
0.265,37.50,0
0.270,37.50,0
0.273,37.50,0
0.278,37.50,0
0.282,37.50,0
0.287,37.50,0
0.290,37.50,0
0.294,37.50,0
0.298,37.50,0
0.302,37.50,0
0.305,37.50,0
0.309,37.50,0
0.314,37.50,0
0.317,37.50,0
0.321,37.50,0
0.325,37.50,0
0.334,37.50,0
0.338,37.50,0
0.338,37.50,0
0.342,37.50,0
0.345,37.50,0
0.349,37.50,0
0.354,37.50,0
0.357,37.50,0
0.362,37.50,0
0.365,37.50,0
0.369,37.50,0
0.373,37.50,0
0.377,37.50,0
0.386,37.50,0
0.386,37.50,0
0.390,37.50,0
0.393,37.50,0
0.397,37.50,0
0.402,37.50,0
0.405,37.50,0
0.409,37.50,0
0.414,37.50,0
0.417,37.50,0
0.421,37.50,0
0.426,37.50,0
0.438,37.50,0
0.438,37.50,0
0.438,37.50,0
0.443,37.50,0
0.447,37.50,0
0.454,37.50,0
0.454,37.50,0
0.457,37.50,0
0.461,37.50,0
0.465,37.50,0
0.470,37.50,0
0.473,37.50,0
0.478,37.50,0
0.485,37.50,0
0.485,37.50,0
0.493,37.50,0
0.493,37.50,0
0.497,37.50,0
0.501,37.50,0
0.505,37.50,0
0.509,37.50,0
0.514,37.50,0
0.517,37.50,0
0.521,37.50,0
0.526,37.50,0
0.532,37.50,0
0.534,37.50,0
