Time(sec),Temperature(C),PWM(%)
0.002,28.25,0
0.006,28.25,0
0.010,28.25,0
0.014,28.25,0
0.018,28.25,0
0.022,28.25,0
0.027,28.25,0
0.030,28.25,0
0.034,28.25,0
0.038,28.25,0
0.046,28.25,0
0.046,28.25,0
0.052,28.25,0
0.054,28.25,0
0.062,28.50,0
0.062,28.50,0
0.067,28.50,0
0.071,28.50,0
0.076,28.50,0
0.078,28.50,0
0.082,28.50,0
0.086,28.50,0
0.090,28.50,0
0.096,28.50,0
0.099,28.50,0
0.119,28.50,0
0.125,28.50,0
0.125,28.50,0
0.125,28.50,0
0.125,28.50,0
0.126,28.50,0
0.127,28.50,0
0.136,28.25,0
0.136,28.25,0
0.140,28.25,0
0.144,28.25,0
0.149,28.25,0
0.151,28.25,0
0.158,28.25,0
0.158,28.25,0
0.165,28.25,0
0.166,28.25,0
0.171,28.25,0
0.180,28.25,0
0.180,28.25,0
0.185,28.25,0
0.186,28.25,0
0.190,28.25,0
0.194,28.25,0
0.198,28.25,0
0.202,28.25,0
0.208,28.25,0
0.214,28.25,0
0.214,28.25,0
0.218,28.25,0
0.222,28.25,0
0.226,28.25,0
0.230,28.25,0
0.234,28.25,0
0.238,28.25,0
0.242,28.25,0
0.246,28.25,0
0.252,28.25,0
0.254,28.25,0
0.258,28.25,0
0.264,28.25,0
0.266,28.25,0
0.272,28.25,0
0.274,28.25,0
0.278,28.25,0
0.282,28.50,0
0.286,28.50,0
0.290,28.50,0
0.294,28.50,0
0.298,28.50,0
0.305,28.50,0
0.306,28.50,0
0.313,28.50,0
0.317,28.50,0
0.319,28.50,0
0.322,28.50,0
0.326,28.50,0
0.330,28.50,0
0.334,28.50,0
0.338,28.50,0
0.342,28.50,0
0.346,28.50,0
0.350,28.50,0
0.355,28.50,0
0.360,28.50,0
0.362,28.50,0
0.368,28.50,0
0.373,28.50,0
0.375,28.50,0
0.382,28.50,0
0.382,28.50,0
0.387,28.50,0
0.391,28.50,0
0.395,28.50,0
0.398,28.50,0
0.402,28.50,0
0.407,28.50,0
0.411,28.50,0
0.419,28.50,0
0.419,28.50,0
0.430,28.50,0
0.432,28.50,0
0.432,28.25,0
0.435,28.25,0
0.441,28.25,0
0.442,28.25,0
0.448,28.25,0
0.450,28.25,0
0.454,28.25,0
0.465,28.25,0
0.465,28.25,0
0.466,28.25,0
0.471,28.25,0
0.475,28.25,0
0.478,28.25,0
0.485,28.25,0
0.486,28.25,0
0.490,28.25,0
0.494,28.25,0
0.498,28.25,0
0.502,28.25,0
0.506,28.25,0
0.514,28.25,0
0.514,28.25,0
0.520,28.25,0
0.523,28.25,0
0.526,28.25,0
0.530,28.25,0
0.534,28.25,0
0.538,28.25,0
0.543,28.25,0
0.546,28.25,0
0.550,28.25,0
0.554,28.25,0
0.562,28.25,0
0.565,28.25,0
0.567,28.25,0
0.570,28.25,0
0.574,28.25,0
0.578,28.50,0
0.582,28.50,0
0.586,28.50,0
0.590,28.50,0
0.594,28.50,0
0.598,28.50,0
0.602,28.50,0
0.607,28.50,0
0.612,28.50,0
0.615,28.50,0
0.620,28.50,0
0.624,28.50,0
0.627,28.50,0
0.630,28.50,0
0.634,28.50,0
0.638,28.50,0
0.643,28.50,0
