Time(sec),Temperature(C),PWM(%)
0.002,28.75,0
0.006,28.75,0
0.014,28.75,0
0.014,28.75,0
0.018,28.75,0
0.022,28.75,0
0.027,28.75,0
0.030,28.75,0
0.034,28.75,0
0.038,28.75,0
0.043,28.75,0
0.046,28.75,0
0.051,28.75,0
0.065,28.75,0
0.066,28.75,0
0.066,28.75,0
0.066,28.75,0
0.078,28.75,0
0.079,28.75,0
0.079,28.75,0
0.087,28.75,0
0.087,28.75,0
0.090,28.75,0
0.094,28.75,0
0.099,28.75,0
0.102,28.75,0
0.109,28.75,0
0.114,28.75,0
0.114,28.75,0
0.123,28.75,0
0.126,28.75,0
0.130,28.75,0
0.134,28.75,0
0.138,28.75,0
0.143,28.75,0
0.147,28.75,0
0.150,28.75,0
0.156,28.75,0
0.162,28.75,0
0.162,28.75,0
0.166,28.75,0
0.170,28.75,0
0.174,28.75,0
0.178,28.75,0
0.182,28.75,0
0.186,28.75,0
0.190,28.75,0
0.196,28.75,0
0.200,28.75,0
0.203,28.75,0
0.206,28.75,0
0.212,28.75,0
0.214,28.75,0
0.219,28.75,0
0.225,28.75,0
0.227,28.75,0
0.231,28.75,0
0.235,28.75,0
0.239,28.75,0
0.246,28.75,0
0.247,28.75,0
0.251,28.75,0
0.257,28.75,0
0.265,28.75,0
0.265,28.75,0
0.266,28.75,0
0.273,28.75,0
0.278,28.75,0
0.279,28.75,0
0.283,28.75,0
0.287,28.75,0
0.291,28.75,0
0.295,28.75,0
0.301,28.75,0
0.306,28.75,0
0.306,28.75,0
0.312,28.75,0
0.315,28.75,0
0.319,28.75,0
0.323,28.75,0
0.329,28.75,0
0.330,28.75,0
0.335,28.75,0
0.338,28.75,0
0.344,28.75,0
0.349,28.75,0
0.356,28.75,0
0.356,28.75,0
0.359,28.75,0
0.363,28.75,0
0.368,28.75,0
0.377,28.75,0
0.377,28.75,0
0.379,28.75,0
0.382,28.75,0
0.386,28.75,0
0.390,28.75,0
0.395,28.75,0
0.401,28.75,0
0.403,28.75,0
0.407,28.75,0
0.413,28.75,0
0.415,28.75,0
0.418,28.75,0
0.422,28.75,0
0.427,28.75,0
0.434,28.75,0
0.435,28.75,0
0.438,28.75,0
0.444,28.75,0
0.451,28.75,0
0.452,28.75,0
0.457,28.75,0
0.459,28.75,0
0.465,28.75,0
0.466,28.75,0
0.470,28.75,0
0.474,28.75,0
0.478,28.75,0
0.482,28.75,0
0.486,28.75,0
0.490,28.75,0
0.495,28.75,0
0.501,28.75,0
0.502,28.75,0
0.507,28.75,0
0.513,28.75,0
0.515,28.75,0
0.518,28.75,0
0.522,28.75,0
0.526,28.75,0
0.530,28.75,0
0.539,28.75,0
0.539,28.75,0
0.544,28.75,0
0.551,28.75,0
0.551,28.75,0
0.556,28.75,0
0.562,28.75,0
0.562,28.75,0
0.566,28.75,0
0.570,28.75,0
0.574,28.75,0
0.578,28.75,0
0.582,28.75,0
0.586,28.75,0
0.590,28.75,0
0.595,28.75,0
0.600,28.75,0
0.603,28.75,0
0.606,28.75,0
0.612,28.75,0
0.614,28.75,0
0.618,28.75,0
0.622,28.75,0
0.626,28.75,0
0.630,28.75,0
0.634,28.75,0
0.639,28.75,0
0.644,28.75,0
0.648,28.75,0
0.651,28.75,0
0.656,28.75,0
0.662,28.75,0
0.662,28.75,0
0.666,28.75,0
0.670,28.75,0
0.674,28.75,0
0.678,28.75,0
0.682,28.75,0
0.686,28.75,0
0.690,28.75,0
0.696,28.75,0
0.701,28.75,0
0.702,28.75,0
0.707,28.75,0
0.714,28.75,0
0.714,28.75,0
0.718,28.75,0
0.722,28.75,0
0.726,28.75,0
0.730,28.75,0
0.734,28.75,0
0.738,28.75,0
0.744,28.75,0
0.751,28.75,0
0.751,28.75,0
0.757,28.75,0
0.763,28.75,0
0.763,28.75,0
0.766,28.75,0
0.770,28.75,0
0.774,28.75,0
0.779,28.75,0
0.782,28.75,0
0.786,28.75,0
0.790,28.75,0
0.795,28.75,0
0.801,28.75,0
0.802,28.75,0
0.807,28.75,0
0.814,28.75,0
0.815,28.75,0
0.818,28.75,0
0.822,28.75,0
0.826,28.75,0
0.830,28.75,0
0.834,28.75,0
0.838,28.75,0
0.843,28.75,0
0.851,28.75,0
0.851,28.75,0
0.855,28.75,0
0.859,28.75,0
0.864,28.75,0
0.866,28.75,0
0.870,28.75,0
0.874,28.75,0
0.878,28.75,0
0.882,28.75,0
0.886,28.75,0
0.890,28.75,0
0.895,28.75,0
0.901,28.75,0
0.902,28.75,0
0.908,28.75,0
0.910,28.75,0
0.916,28.75,0
0.918,28.75,0
0.922,28.75,0
0.926,28.75,0
0.930,28.75,0
0.934,28.75,0
0.938,28.75,0
0.943,28.75,0
0.952,28.75,0
0.952,28.75,0
0.957,28.75,0
0.958,28.75,0
0.962,28.75,0
0.967,28.75,0
0.976,28.75,0
0.982,28.75,0
0.982,28.75,0
0.982,28.75,0
0.987,28.75,0
0.993,28.75,0
0.994,28.75,0
1.006,28.75,0
1.006,28.75,0
1.012,28.75,0
1.015,28.75,0
1.020,28.75,0
1.022,28.75,0
1.026,28.75,0
1.030,28.75,0
1.034,28.75,0
1.038,28.75,0
1.043,28.75,0
1.053,28.75,0
1.053,28.75,0
1.055,28.75,0
1.060,28.75,0
1.066,28.75,0
1.066,28.75,0
1.070,28.75,0
1.075,28.75,0
1.079,28.75,0
1.083,28.75,0
1.087,28.75,0
1.091,28.75,0
1.100,28.75,0
1.100,28.75,0
1.103,28.75,0
1.108,28.75,0
1.117,28.75,0
1.119,28.75,0
1.119,28.75,0
1.123,28.75,0
1.129,28.75,0
1.133,28.75,0
1.135,28.75,0
1.138,28.75,0
1.144,28.75,0
1.151,28.75,0
1.151,28.75,0
1.158,28.75,0
1.159,28.75,0
1.165,28.75,0
1.167,28.75,0
1.170,28.75,0
1.174,28.75,0
