Time(sec),Temperature(C),PWM(%)
0.003,27.75,0
0.006,27.75,0
0.010,27.75,0
0.014,27.75,0
0.018,27.75,0
0.022,27.75,0
0.026,27.75,0
0.030,27.75,0
0.034,27.75,0
0.038,27.75,0
0.042,27.75,0
0.046,27.75,0
0.050,27.75,0
0.057,27.75,0
0.058,27.75,0
0.064,27.75,0
0.069,27.75,0
0.070,27.75,0
0.074,27.75,0
0.078,27.75,0
0.087,27.75,0
0.087,27.75,0
0.091,27.75,0
0.094,27.75,0
0.098,27.75,0
0.109,27.75,0
0.109,27.75,40
0.110,27.75,40
0.115,27.75,40
0.119,27.75,40
0.122,27.75,40
0.126,27.75,40
0.130,27.75,40
0.134,27.75,40
0.138,27.75,40
0.142,27.75,40
0.146,27.75,40
0.151,27.75,40
0.158,27.75,40
0.158,27.75,40
0.164,27.75,40
0.168,27.75,40
0.170,27.75,40
0.178,27.75,40
0.178,27.75,40
0.182,27.75,40
0.186,27.75,40
0.190,27.75,40
0.194,27.75,40
0.198,27.75,40
0.204,27.75,40
0.209,27.75,40
0.210,27.75,40
0.216,27.75,40
0.221,27.75,40
0.223,27.75,40
0.226,27.75,40
0.230,27.75,40
0.234,27.75,40
0.238,27.75,40
0.242,27.75,40
0.246,27.75,40
0.250,27.75,40
0.255,27.75,40
0.260,27.75,40
0.262,27.75,40
0.266,27.75,40
0.270,27.75,40
0.274,27.75,40
0.279,27.75,40
0.282,27.75,40
0.286,27.75,40
0.290,27.75,41
0.294,27.75,41
0.298,28.00,41
0.302,28.00,41
0.307,28.00,40
0.314,28.00,40
0.314,28.00,40
0.323,28.00,40
0.323,28.00,40
0.327,28.00,40
0.330,28.00,40
0.334,28.00,40
0.338,28.00,40
0.342,28.00,40
0.346,28.00,40
0.350,28.00,40
0.354,28.00,40
0.358,28.00,40
0.365,28.00,40
0.366,28.00,40
0.373,28.00,40
0.377,28.00,40
0.379,28.00,40
0.385,28.00,40
0.386,28.00,40
0.390,28.00,40
0.394,28.00,40
0.398,28.00,40
0.402,28.00,40
0.406,28.00,40
0.410,28.00,40
0.417,28.00,40
0.418,28.00,40
0.422,28.00,40
0.426,28.00,40
0.430,28.00,40
0.434,28.00,40
0.438,28.00,40
0.442,28.00,40
0.446,28.00,40
0.450,28.00,40
0.454,28.00,40
0.458,28.00,40
0.463,28.00,40
0.470,28.00,40
0.470,28.00,40
0.478,28.00,40
0.478,28.00,40
0.482,28.00,40
0.490,28.00,40
0.490,28.00,40
0.494,28.00,40
0.498,28.00,40
0.502,28.00,40
0.506,28.00,40
0.510,28.00,40
0.515,28.00,40
0.520,28.00,40
0.522,28.00,40
0.527,28.00,40
0.530,28.00,40
0.534,28.00,40
0.538,28.00,40
0.542,28.00,40
0.546,28.00,40
0.550,28.00,40
0.554,28.00,40
0.558,28.00,40
0.562,28.00,41
0.572,28.00,41
0.572,28.00,41
0.574,28.00,41
0.579,28.00,41
0.583,28.00,41
0.586,28.00,41
0.590,28.00,41
0.594,28.25,41
0.598,28.25,41
0.602,28.25,40
0.606,28.25,40
0.610,28.25,40
0.614,28.25,40
0.623,28.25,40
0.623,28.25,40
0.631,28.25,40
0.631,28.25,40
0.636,28.25,40
0.639,28.25,40
0.642,28.25,40
0.646,28.25,40
0.650,28.25,40
0.654,28.25,40
0.658,28.25,40
0.662,28.25,40
0.673,28.25,40
0.673,28.25,40
0.674,28.25,40
0.679,28.25,40
0.684,28.25,40
0.687,28.25,40
0.690,28.25,40
0.694,28.25,40
0.698,28.25,40
0.702,28.25,40
0.706,28.25,40
0.710,28.25,40
0.714,28.25,40
0.718,28.25,40
0.722,28.25,40
0.728,28.25,40
0.733,28.25,40
0.735,28.25,40
0.738,28.25,40
0.742,28.25,40
0.746,28.50,40
0.750,28.50,40
0.754,28.50,39
0.758,28.50,39
0.762,28.50,39
0.773,28.50,39
0.773,28.50,39
0.774,28.50,39
0.780,28.50,39
0.785,28.50,39
0.786,28.50,40
0.790,28.50,40
0.794,28.50,40
0.798,28.50,40
0.802,28.50,40
0.806,28.50,40
0.810,28.50,40
0.814,28.50,40
0.822,28.75,40
0.822,28.75,40
0.826,28.75,39
0.833,28.75,39
0.834,28.75,39
0.838,28.75,39
0.842,28.75,39
0.846,28.75,39
0.850,28.75,39
0.854,28.75,39
0.858,28.75,39
0.862,28.75,39
0.873,28.75,39
0.873,28.75,39
0.874,28.75,39
0.880,28.75,39
0.885,28.75,39
0.886,28.75,39
0.890,28.75,39
0.894,29.00,39
0.898,29.00,38
0.902,29.00,38
0.906,29.00,38
0.910,29.00,38
0.914,29.00,38
0.923,29.00,38
0.923,29.00,38
0.929,29.00,38
0.930,29.00,38
0.934,29.00,38
0.938,29.00,38
0.942,29.00,38
0.946,29.00,38
0.950,29.00,38
0.954,29.00,38
0.958,29.00,38
0.962,29.00,38
0.973,29.00,38
0.973,29.00,38
0.974,29.00,38
0.980,29.00,38
0.984,29.00,38
0.988,29.00,38
0.990,29.00,38
0.994,29.00,38
0.998,29.00,38
1.002,29.00,38
1.006,29.00,38
1.010,29.00,38
1.014,29.00,38
1.022,29.00,39
1.022,29.00,39
1.026,29.00,39
1.033,29.00,39
1.034,29.00,39
1.038,29.00,39
1.042,29.25,39
1.046,29.25,39
1.050,29.25,38
