Time(sec),Temperature(C),PWM(%)
0.004,26.75,0
0.008,26.75,0
0.012,26.75,0
0.016,26.75,0
0.020,26.75,0
0.024,26.75,0
0.028,26.75,0
0.032,26.75,0
0.036,26.75,0
0.040,26.75,0
0.046,26.75,0
0.051,26.75,0
0.052,26.75,0
0.056,26.75,0
0.061,26.75,0
0.066,26.75,0
0.068,26.75,0
0.072,26.75,0
0.076,26.75,0
0.080,26.75,0
0.084,26.75,0
0.088,26.75,0
0.092,26.75,0
0.099,26.75,0
0.100,26.75,0
0.105,26.75,0
0.111,26.75,0
0.112,26.75,0
0.116,26.75,0
0.120,26.75,0
0.124,26.75,0
0.128,26.75,0
0.132,26.75,0
0.136,26.75,0
0.142,26.75,0
0.144,26.75,0
0.151,26.75,0
0.153,26.75,0
0.161,26.75,0
0.161,26.75,0
0.164,26.75,0
0.170,26.75,0
0.179,26.75,0
0.179,26.75,0
0.181,26.75,0
0.184,26.75,0
0.189,26.75,0
0.194,26.75,0
0.196,26.75,0
0.200,26.75,0
0.205,26.75,0
0.208,26.75,0
0.212,26.75,0
0.216,26.75,0
0.220,26.75,0
0.224,26.75,0
0.228,26.75,0
0.239,26.75,0
0.239,26.75,0
0.240,26.75,0
0.244,26.75,0
0.250,26.75,0
0.252,26.75,0
0.256,26.75,0
0.260,26.75,0
0.264,26.75,0
0.268,26.75,0
0.272,26.75,0
0.276,26.75,0
0.280,26.75,0
0.284,26.75,0
0.288,26.75,0
0.293,26.75,0
0.296,26.75,0
0.300,26.75,0
0.304,26.75,0
0.308,26.75,0
0.312,26.75,0
0.316,26.75,0
0.320,26.75,0
0.324,26.75,0
0.328,26.75,0
0.336,26.75,0
0.336,26.75,0
0.343,26.75,0
0.345,26.75,0
0.357,26.75,0
0.357,26.75,0
0.357,26.75,0
0.360,26.75,0
0.366,26.75,0
0.371,26.75,0
0.372,26.75,0
0.376,26.75,0
0.380,26.75,0
0.385,26.75,0
0.389,26.75,0
0.392,26.75,0
0.397,26.75,0
0.400,26.75,0
0.404,26.75,0
0.408,26.75,0
0.412,26.75,0
0.416,26.75,0
0.420,26.75,0
0.424,26.75,0
0.429,26.75,0
0.434,26.75,0
0.436,26.75,0
0.443,26.75,0
0.445,26.75,0
0.465,26.75,0
0.465,26.75,0
0.465,26.75,0
0.465,26.75,0
0.465,26.75,0
0.468,26.75,0
0.474,26.75,0
0.482,26.75,0
0.482,26.75,0
0.490,26.75,0
0.490,26.75,0
0.492,26.75,0
0.496,26.75,0
0.502,26.75,0
0.504,26.75,0
0.510,26.75,0
0.514,26.75,0
0.516,26.75,0
0.520,26.75,0
0.524,26.75,0
0.528,26.75,0
0.534,26.75,0
0.536,26.75,0
0.541,26.75,0
0.546,26.75,0
0.548,26.75,0
0.552,26.75,0
0.556,26.75,0
0.560,26.75,0
0.564,26.75,0
0.568,26.75,0
0.572,26.75,0
0.576,26.75,0
0.581,26.75,0
0.591,26.75,0
0.591,26.75,0
0.592,26.75,0
0.600,26.75,0
0.600,26.75,0
0.605,26.75,0
0.608,26.75,0
0.612,26.75,0
0.616,26.75,0
0.620,26.75,0
0.624,26.75,0
0.628,26.75,0
0.635,26.75,0
0.636,26.75,0
0.643,26.75,0
0.644,26.75,0
0.648,26.75,0
0.652,26.75,0
0.656,26.75,0
0.660,26.75,0
0.664,26.75,0
0.668,26.75,0
0.672,26.75,0
0.676,26.75,0
0.682,26.75,0
0.685,26.75,0
0.691,26.75,0
0.694,26.75,0
0.702,26.75,0
0.708,26.75,0
0.708,26.75,0
0.708,26.75,0
0.714,26.75,0
0.718,26.75,0
0.724,26.75,0
0.725,26.75,0
0.729,26.75,0
0.733,26.75,0
0.737,26.75,0
0.740,26.75,0
0.744,26.75,0
0.748,26.75,0
0.752,26.75,0
0.758,26.75,0
0.763,26.75,0
0.768,26.75,0
0.768,26.75,0
0.772,26.75,0
0.780,26.75,0
0.780,26.75,0
0.784,26.75,0
0.793,26.75,0
0.793,26.75,0
0.800,26.75,0
0.800,26.75,0
0.804,26.75,0
0.808,26.75,0
0.812,26.75,0
0.816,26.75,0
0.820,26.75,0
0.824,26.75,0
0.828,26.75,0
0.840,26.75,0
0.840,26.75,0
0.841,26.75,0
0.844,26.75,0
0.848,26.75,0
0.852,26.75,0
0.856,26.75,0
0.860,26.75,0
0.864,26.75,0
0.868,26.75,0
0.872,26.75,0
0.876,26.75,0
0.880,26.75,0
0.885,26.75,0
0.888,26.75,0
0.893,26.75,0
0.897,26.75,0
0.900,26.75,0
