Time(sec),Temperature(C),PWM(%)
0.003,27.00,0
0.006,27.00,0
0.010,27.00,0
0.014,27.00,0
0.018,27.00,0
0.022,27.00,0
0.027,27.00,0
0.030,27.00,0
0.035,27.00,0
0.038,27.00,0
0.043,27.00,0
0.049,27.00,0
0.052,27.00,0
0.055,27.00,0
0.059,27.00,0
0.064,27.00,0
0.066,27.00,0
0.070,27.00,0
0.074,27.00,0
0.078,27.00,0
0.083,27.00,0
0.086,27.00,0
0.090,27.00,0
0.098,27.00,0
0.098,27.00,0
0.106,27.00,0
0.106,27.00,0
0.110,27.00,0
0.114,27.00,0
0.118,27.00,0
0.122,27.00,0
0.126,27.00,0
0.130,27.00,0
0.135,27.00,0
0.138,27.00,0
0.143,27.00,0
0.149,27.00,0
0.150,27.00,0
0.157,27.00,0
0.161,27.00,0
0.162,27.00,0
0.166,27.00,0
0.170,27.00,0
0.174,27.00,0
0.178,27.00,0
0.183,27.00,0
0.186,27.00,0
0.190,27.00,0
0.199,27.00,0
0.199,27.00,0
0.203,27.00,0
0.208,27.00,0
0.212,27.00,0
0.214,27.00,0
0.218,27.00,0
0.222,27.00,0
0.226,27.00,0
0.230,27.00,0
0.235,27.00,0
0.238,27.00,0
0.242,27.00,0
0.249,27.00,0
0.251,27.00,0
0.257,27.00,0
0.261,27.00,0
0.263,27.00,0
0.266,27.00,0
0.270,27.00,0
0.274,27.00,0
0.278,27.00,0
0.283,27.00,0
0.286,27.00,0
0.290,27.00,0
0.295,27.00,0
0.299,27.00,0
0.304,27.00,0
0.307,27.00,0
0.311,27.00,0
0.314,27.00,0
0.318,27.00,0
0.322,27.00,0
0.326,27.00,0
0.330,27.00,0
0.335,27.00,0
0.338,27.00,0
0.344,27.00,0
0.349,27.00,0
0.350,27.00,0
0.357,27.00,0
0.361,27.00,0
0.363,27.00,0
0.366,27.00,0
0.370,27.00,0
0.374,27.00,0
0.378,27.00,0
0.383,27.00,0
0.386,27.00,0
0.390,27.00,0
0.395,27.00,0
0.399,27.00,0
0.403,27.00,0
0.408,27.00,0
0.412,27.00,0
0.415,27.00,0
0.418,27.00,0
0.422,27.00,0
0.427,27.00,0
0.430,27.00,0
0.435,27.00,0
0.438,27.00,0
0.442,27.00,0
0.449,27.00,0
0.450,27.00,0
0.457,27.00,0
0.458,27.00,0
0.463,27.00,0
0.466,27.00,0
0.470,27.00,0
0.474,27.00,0
0.478,27.00,0
0.482,27.00,0
0.487,27.00,0
0.490,27.00,0
0.498,27.00,0
0.498,27.00,0
0.503,27.00,0
0.507,27.00,0
0.511,27.00,0
0.514,27.00,0
0.518,27.00,0
0.522,27.00,0
0.526,27.00,0
0.531,27.00,0
0.535,27.00,0
0.538,27.00,0
0.544,27.00,0
0.549,27.00,0
0.551,27.00,0
0.555,27.00,0
0.561,27.00,0
0.563,27.00,0
0.566,27.00,0
0.570,27.00,0
0.574,27.00,0
0.579,27.00,0
0.582,27.00,0
0.586,27.00,0
0.590,27.00,0
0.595,27.00,0
0.599,27.00,0
0.603,27.00,0
0.608,27.00,0
0.613,27.00,0
0.615,27.00,0
0.618,27.00,0
0.622,27.00,0
0.627,27.00,0
0.631,27.00,0
0.635,27.00,0
0.639,27.00,0
0.643,27.00,0
0.650,27.00,0
0.650,27.00,0
0.659,27.00,0
0.659,27.00,0
0.664,27.00,0
0.666,27.00,0
0.670,27.00,0
0.674,27.00,0
0.678,27.00,0
0.683,27.00,0
0.687,27.00,0
0.690,27.00,0
0.695,27.00,0
0.699,27.00,0
0.707,27.00,0
0.707,27.00,0
0.711,27.00,0
0.714,27.00,0
0.718,27.00,0
0.722,27.00,0
0.726,27.00,0
0.730,27.00,0
0.735,27.00,0
0.738,27.00,0
0.743,27.00,0
0.750,27.00,0
0.751,27.00,0
0.758,27.00,0
0.758,27.00,0
0.763,27.00,0
0.766,27.00,0
0.770,27.00,0
0.774,27.00,0
0.779,27.00,0
0.782,27.00,0
0.787,27.00,0
0.790,27.00,0
0.799,27.00,0
0.799,27.00,0
0.804,27.00,0
0.807,27.00,0
0.812,27.00,0
0.814,27.00,0
0.818,27.00,0
0.822,27.00,0
0.827,27.00,0
0.831,27.00,0
0.835,27.00,0
0.838,27.00,0
0.846,27.00,0
0.850,27.00,0
0.850,27.00,0
0.855,27.00,0
0.858,27.00,0
0.863,27.00,0
0.866,27.00,0
0.870,27.00,0
0.874,27.00,0
0.879,27.00,0
0.882,27.00,0
0.886,27.00,0
0.890,27.00,0
0.900,27.00,0
0.900,27.00,0
0.902,27.00,0
0.908,27.00,0
0.912,27.00,0
0.914,27.00,0
0.918,27.00,0
0.922,27.00,0
0.926,27.00,0
0.931,27.00,0
0.935,27.00,0
0.938,27.00,0
0.943,27.00,0
0.949,27.00,0
0.951,27.00,0
0.958,27.00,0
0.958,27.00,0
0.962,27.00,0
0.966,27.00,0
0.970,27.00,0
0.975,27.00,0
0.979,27.00,0
0.983,27.00,0
0.987,27.00,0
0.990,27.00,0
0.999,27.00,0
0.999,27.00,0
1.004,27.00,0
1.007,27.00,0
1.011,27.00,0
1.015,27.00,0
1.018,27.00,0
1.022,27.00,0
1.027,27.00,0
1.031,27.00,0
1.035,27.00,0
1.038,27.00,0
1.043,27.00,0
1.049,27.00,0
1.050,27.00,0
1.055,27.00,0
1.058,27.00,0
1.062,27.00,0
1.066,27.00,0
1.070,27.00,0
1.074,27.00,0
1.079,27.00,0
1.083,27.00,0
1.087,27.00,0
1.090,27.00,0
1.095,27.00,0
1.101,27.00,0
1.102,27.00,0
1.107,27.00,0
1.110,27.00,0
1.115,27.00,0
1.118,27.00,0
1.122,27.00,0
1.127,27.00,0
1.131,27.00,0
1.134,27.00,0
1.138,27.00,0
1.143,27.00,0
1.151,27.00,0
1.151,27.00,0
1.160,27.00,0
1.160,27.00,0
1.164,27.00,0
1.167,27.00,0
1.170,27.00,0
1.174,27.00,0
1.178,27.00,0
1.183,27.00,0
1.187,27.00,0
1.190,27.00,0
1.195,27.00,0
1.198,27.00,0
1.207,27.00,0
1.207,27.00,0
1.212,27.00,0
1.214,27.00,0
1.218,27.00,0
1.222,27.00,0
1.226,27.00,0
1.231,27.00,0
1.235,27.00,0
1.238,27.00,0
1.244,27.00,0
1.249,27.00,0
1.251,27.00,0
1.257,27.00,0
1.262,27.00,0
1.262,27.00,0
1.267,27.00,0
1.270,27.00,0
1.274,27.00,0
1.278,27.00,0
1.283,27.00,0
1.286,27.00,0
1.290,27.00,0
1.295,27.00,0
1.298,27.00,0
1.306,27.00,0
1.306,27.00,0
1.310,27.00,0
1.314,27.00,0
1.318,27.00,0
1.323,27.00,0
1.329,27.00,0
1.331,27.00,0
1.336,27.00,0
1.338,27.00,0
1.343,27.00,0
1.352,27.00,0
1.354,27.00,0
1.359,27.00,0
1.359,27.00,0
1.362,27.00,0
1.370,27.00,0
1.370,27.00,0
1.374,27.00,0
1.380,27.00,0
1.384,27.00,0
1.388,27.00,0
1.392,27.00,0
1.395,27.00,0
1.403,27.00,0
1.403,27.00,0
1.409,27.00,0
1.413,27.00,0
1.415,27.00,0
1.418,27.00,0
1.422,27.00,0
1.426,27.00,0
1.430,27.00,0
1.435,27.00,0
1.438,27.00,0
1.443,27.00,0
1.449,27.00,0
1.450,27.00,0
1.457,27.00,0
1.462,27.00,0
1.462,27.00,0
1.466,27.00,0
1.470,27.00,0
1.474,27.00,0
1.478,27.00,0
1.482,27.00,0
1.486,27.00,0
1.490,27.00,0
1.499,27.00,0
1.499,27.00,0
1.503,27.00,0
1.508,27.00,0
1.513,27.00,0
1.515,27.00,0
1.518,27.00,0
1.522,27.00,0
1.526,27.00,0
1.531,27.00,0
1.535,27.00,0
1.538,27.00,0
1.543,27.00,0
1.549,27.00,0
1.551,27.00,0
1.558,27.00,0
1.558,27.00,0
1.563,27.00,0
1.566,27.00,0
1.570,27.00,0
1.574,27.00,0
1.579,27.00,0
1.583,27.00,0
1.586,27.00,0
1.590,27.00,0
1.594,27.00,0
1.600,27.00,0
1.602,27.00,0
1.608,27.00,0
1.612,27.00,0
1.614,27.00,0
1.618,27.00,0
1.622,27.00,0
1.627,27.00,0
1.630,27.00,0
1.635,27.00,0
1.638,27.00,0
1.644,27.00,0
1.649,27.00,0
1.651,27.00,0
1.655,27.00,0
1.659,27.00,0
1.662,27.00,0
1.666,27.00,0
1.671,27.00,0
1.674,27.00,0
1.678,27.00,0
1.682,27.00,0
1.686,27.00,0
1.690,27.00,0
1.695,27.00,0
1.699,27.00,0
1.703,27.00,0
1.708,27.00,0
1.713,27.00,0
1.714,27.00,0
1.718,27.00,0
1.722,27.00,0
1.726,27.00,0
1.730,27.00,0
1.735,27.00,0
1.738,27.00,0
1.743,27.00,0
1.749,27.00,0
1.751,27.00,0
1.755,27.00,0
1.758,27.00,0
1.762,27.00,0
1.766,27.00,0
1.770,27.00,0
1.774,27.00,0
1.778,27.00,0
1.783,27.00,0
1.786,27.00,0
1.790,27.00,0
1.796,27.00,0
1.800,27.00,0
1.802,27.00,0
1.808,27.00,0
