Time(sec),Temperature(C),PWM(%)
0.003,27.75,0
0.007,27.75,0
0.011,27.75,0
0.015,27.75,0
0.019,27.75,0
0.023,27.75,0
0.027,27.75,0
0.031,27.75,0
0.035,27.75,0
0.039,27.75,0
0.046,27.75,0
0.048,27.75,0
0.052,27.75,0
0.056,27.75,0
0.063,27.75,0
0.069,27.75,0
0.080,27.75,0
0.094,27.75,0
0.095,27.75,0
0.095,27.75,0
0.095,27.75,0
0.095,27.75,0
0.095,27.75,0
0.095,27.75,0
0.099,27.75,0
0.104,27.75,0
0.109,27.75,0
0.118,27.75,0
0.122,27.75,0
0.123,27.75,0
0.123,27.75,0
0.140,27.75,0
0.140,27.75,0
0.140,27.75,0
0.141,27.75,0
0.144,27.75,0
0.154,27.75,0
0.160,27.75,0
0.160,27.75,0
0.163,27.75,0
0.169,27.75,0
0.171,27.75,0
0.175,27.75,0
0.179,27.75,0
0.184,27.75,0
0.187,27.75,0
0.191,27.75,0
0.195,27.75,0
0.199,27.75,0
0.204,27.75,0
0.208,27.75,0
0.211,27.75,0
0.215,27.75,0
0.219,27.75,0
0.223,27.75,0
0.227,27.75,0
0.231,27.75,0
0.235,27.75,0
0.239,27.75,0
0.243,27.75,0
0.247,27.75,0
0.254,27.75,0
0.255,27.75,0
0.260,27.75,0
0.265,27.75,0
0.267,27.75,0
0.273,27.75,0
0.275,27.75,0
0.279,27.75,0
0.283,27.75,0
0.287,27.75,0
0.291,27.75,0
0.295,27.75,0
0.302,27.75,0
0.303,27.75,0
0.307,27.75,0
0.313,27.75,0
0.315,27.75,0
0.319,27.75,0
0.323,27.75,0
0.327,27.75,0
0.331,27.75,0
0.335,27.75,0
0.339,27.75,0
0.343,27.75,0
0.347,27.75,0
0.354,27.75,0
0.355,27.75,0
0.360,27.75,0
0.364,27.75,0
0.367,27.75,0
0.373,27.75,0
0.375,27.75,0
0.379,27.75,0
0.383,27.75,0
0.387,27.75,0
0.391,27.75,0
0.395,27.75,0
0.404,27.75,0
0.404,27.75,0
0.407,27.75,0
0.413,27.75,0
0.417,27.75,0
0.420,27.75,0
0.423,27.75,0
0.427,27.75,0
0.431,27.75,0
0.435,27.75,0
0.439,27.75,0
0.443,27.75,0
0.447,27.75,0
0.455,27.75,0
0.455,27.75,0
0.461,27.75,0
0.466,27.75,0
0.467,27.75,0
0.474,27.75,0
0.475,27.75,0
0.479,27.75,0
0.483,27.75,0
0.487,27.75,0
0.491,27.75,0
0.495,27.75,0
0.502,27.75,0
0.503,27.75,0
0.509,27.75,0
0.514,27.75,0
0.515,27.75,0
0.519,27.75,0
0.523,27.75,0
0.527,27.75,0
0.531,27.75,0
0.535,27.75,0
0.539,27.75,0
0.543,27.75,0
0.547,27.75,0
0.554,27.75,0
0.555,27.75,0
0.560,27.75,0
0.564,27.75,0
0.567,27.75,0
0.573,27.75,0
0.575,27.75,0
0.579,27.75,0
0.583,27.75,0
0.587,27.75,0
0.591,27.75,0
0.595,27.75,0
0.599,27.75,0
0.604,27.75,0
0.610,27.75,0
0.611,27.75,0
0.615,27.75,0
0.619,27.75,0
0.623,27.75,0
0.627,27.75,0
0.631,27.75,0
0.635,27.75,0
0.639,27.75,0
0.643,27.75,0
0.647,27.75,0
0.655,27.75,0
0.655,27.75,0
0.660,27.75,0
0.664,27.75,0
0.667,27.75,0
0.671,27.75,0
0.675,27.75,0
0.679,27.75,0
0.683,27.75,0
0.687,27.75,0
0.691,27.75,0
0.695,27.75,0
0.699,27.75,0
0.703,27.75,0
0.707,27.75,0
0.714,27.75,0
0.715,27.75,0
0.719,27.75,0
0.723,27.75,0
0.727,27.75,0
0.731,27.75,0
0.735,27.75,0
0.739,27.75,0
0.743,27.75,0
0.749,27.75,0
0.755,27.75,0
0.755,27.75,0
0.761,27.75,0
0.765,27.75,0
0.767,27.75,0
0.771,27.75,0
0.775,27.75,0
0.779,27.75,0
0.783,27.75,0
0.787,27.75,0
0.791,27.75,0
0.795,27.75,0
0.800,27.75,0
0.805,27.75,0
0.807,27.75,0
0.811,27.75,0
0.816,27.75,0
0.819,27.75,0
0.823,27.75,0
0.827,27.75,0
0.831,27.75,0
0.835,27.75,0
0.839,27.75,0
0.843,27.75,0
0.854,27.75,0
0.855,27.75,0
0.861,27.75,0
0.865,27.75,0
0.867,27.75,0
0.871,27.75,0
0.875,27.75,0
0.879,27.75,0
0.883,27.75,0
0.887,27.75,0
0.891,27.75,0
0.895,27.75,0
0.905,27.75,0
0.905,27.75,0
0.907,27.75,0
0.911,27.75,0
0.916,27.75,0
0.919,27.75,0
0.923,27.75,0
0.927,27.75,0
0.931,27.75,0
0.935,27.75,0
0.939,27.75,0
0.943,27.75,0
0.948,27.75,0
0.955,27.75,0
0.955,27.75,0
0.961,27.75,0
0.966,27.75,0
0.967,27.75,0
0.971,27.75,0
0.975,27.75,0
0.979,27.75,0
0.983,27.75,0
0.987,27.75,0
0.991,27.75,0
0.995,27.75,0
1.004,27.75,0
1.004,27.75,0
1.007,27.75,0
1.011,27.75,0
1.015,27.75,0
1.020,27.75,0
1.029,27.75,0
1.035,27.75,0
1.035,27.75,0
1.035,27.75,0
1.039,27.75,0
1.043,27.75,0
1.055,27.75,0
1.055,27.75,0
1.057,27.75,0
1.060,27.75,0
1.063,27.75,0
1.071,27.75,0
1.072,27.75,0
1.076,27.75,0
1.082,27.75,0
1.083,27.75,0
1.087,27.75,0
1.091,27.75,0
1.095,27.75,0
1.100,27.75,0
1.105,27.75,0
1.107,27.75,0
1.111,27.75,0
1.116,27.75,0
1.119,27.75,0
1.123,27.75,0
1.127,27.75,0
1.131,27.75,0
1.135,27.75,0
1.139,27.75,0
1.143,27.75,0
1.147,27.75,0
1.155,27.75,0
1.156,27.75,0
1.162,27.75,0
1.163,27.75,0
1.167,27.75,0
1.171,27.75,0
1.175,27.75,0
1.179,27.75,0
1.183,27.75,0
1.187,27.75,0
1.191,27.75,0
1.195,27.75,0
1.199,27.75,0
1.205,27.75,0
1.207,27.75,0
1.211,27.75,0
1.216,27.75,0
1.219,27.75,0
1.223,27.75,0
1.227,27.75,0
1.231,27.75,0
1.235,27.75,0
1.239,27.75,0
1.243,27.75,0
1.253,27.75,0
1.255,27.75,0
1.260,27.75,0
1.264,27.75,0
1.267,27.75,0
1.271,27.75,0
1.275,27.75,0
1.279,27.75,0
1.283,27.75,0
1.287,27.75,0
1.291,27.75,0
1.295,27.75,0
1.300,27.75,0
1.305,27.75,0
1.307,27.75,0
1.313,27.75,0
1.318,27.75,0
1.319,27.75,0
1.323,27.75,0
1.327,27.75,0
1.331,27.75,0
1.335,27.75,0
1.339,27.75,0
1.343,27.75,0
1.347,27.75,0
1.355,27.75,0
1.355,27.75,0
1.362,27.75,0
1.363,27.75,0
1.367,27.75,0
1.371,27.75,0
1.375,27.75,0
1.379,27.75,0
1.383,27.75,0
1.387,27.75,0
1.391,27.75,0
1.395,27.75,0
1.403,27.75,0
1.403,27.75,0
1.410,27.75,0
1.414,27.75,0
1.415,27.75,0
1.419,27.75,0
1.423,27.75,0
1.427,27.75,0
1.431,27.75,0
1.435,27.75,0
1.439,27.75,0
1.443,27.75,0
1.454,27.75,0
1.455,27.75,0
1.461,27.75,0
1.465,27.75,0
1.467,27.75,0
1.471,27.75,0
1.475,27.75,0
1.479,27.75,0
1.483,27.75,0
1.487,27.75,0
1.491,27.75,0
1.495,27.75,0
1.499,27.75,0
1.503,27.75,0
1.507,27.75,0
1.514,27.75,0
1.515,27.75,0
1.519,27.75,0
1.523,27.75,0
1.527,27.75,0
1.531,27.75,0
1.535,27.75,0
1.539,27.75,0
1.543,27.75,0
1.547,27.75,0
1.555,27.75,0
1.555,27.75,0
1.562,27.75,0
1.563,27.75,0
1.567,27.75,0
1.571,27.75,0
1.575,27.75,0
1.579,27.75,0
1.583,27.75,0
1.587,27.75,0
1.591,27.75,0
1.595,27.75,0
1.599,27.75,0
1.603,27.75,0
1.610,27.75,0
1.611,27.75,0
1.615,27.75,0
1.619,27.75,0
1.623,27.75,0
1.627,27.75,0
1.631,27.75,0
1.635,27.75,0
1.639,27.75,0
1.643,27.75,0
1.654,27.75,0
1.654,27.75,0
1.655,27.75,0
1.659,27.75,0
1.663,27.75,0
1.667,27.75,0
1.671,27.75,0
1.675,27.75,0
1.679,27.75,0
1.683,27.75,0
1.687,27.75,0
1.691,27.75,0
1.695,27.75,0
1.699,27.75,0
1.705,27.75,0
1.707,27.75,0
1.712,27.75,0
1.717,27.75,0
1.719,27.75,0
1.723,27.75,0
1.727,27.75,0
1.731,27.75,0
1.735,27.75,0
1.739,27.75,0
1.743,27.75,0
1.747,27.75,0
1.755,27.75,0
1.755,27.75,0
1.759,27.75,0
1.763,27.75,0
1.767,27.75,0
1.771,27.75,0
1.775,27.75,0
1.779,27.75,0
1.783,27.75,0
1.787,27.75,0
1.791,27.75,0
1.795,27.75,0
1.800,27.75,0
1.805,27.75,0
1.807,27.75,0
1.812,27.75,0
1.817,27.75,0
1.820,27.75,0
1.823,27.75,0
1.827,27.75,0
1.831,27.75,0
1.835,27.75,0
1.839,27.75,0
1.843,27.75,0
1.847,27.75,0
1.855,27.75,0
1.855,27.75,0
1.862,27.75,0
1.863,27.75,0
1.867,27.75,0
1.871,27.75,0
1.875,27.75,0
1.879,27.75,0
1.883,27.75,0
1.887,27.75,0
1.891,27.75,0
1.895,27.75,0
1.906,27.75,0
1.906,27.75,0
1.907,27.75,0
1.913,27.75,0
1.917,27.75,0
1.920,27.75,0
1.923,27.75,0
1.927,27.75,0
1.931,27.75,0
1.935,27.75,0
1.939,27.75,0
1.943,27.75,0
1.947,27.75,0
1.956,27.75,0
1.956,27.75,0
1.960,27.75,0
1.963,27.75,0
1.968,27.75,0
1.971,27.75,0
1.975,27.75,0
1.979,27.75,0
1.983,27.75,0
1.987,27.75,0
1.991,27.75,0
1.995,27.75,0
1.999,27.75,0
2.005,27.75,0
2.007,27.75,0
2.012,27.75,0
2.017,27.75,0
2.019,27.75,0
2.023,27.75,0
2.027,27.75,0
2.031,27.75,0
2.035,27.75,0
2.039,27.75,0
2.043,27.75,0
2.047,27.75,0
2.055,27.75,0
2.055,27.75,0
2.060,27.75,0
2.063,27.75,0
2.067,27.75,0
2.071,27.75,0
2.075,27.75,0
2.079,27.75,0
2.083,27.75,0
2.087,27.75,0
2.091,27.75,0
2.095,27.75,0
2.099,27.75,0
2.105,27.75,0
2.107,27.75,0
2.111,27.75,0
2.116,27.75,0
2.119,27.75,0
2.123,27.75,0
2.127,27.75,0
2.131,27.75,0
2.135,27.75,0
2.139,27.75,0
2.143,27.75,0
2.147,27.75,0
2.155,27.75,0
2.155,27.75,0
2.160,27.75,0
2.163,27.75,0
2.168,27.75,0
2.171,27.75,0
2.175,27.75,0
2.179,27.75,0
2.183,27.75,0
2.187,27.75,0
2.191,27.75,0
2.195,27.75,0
2.199,27.75,0
2.204,27.75,0
2.207,27.75,0
2.211,27.75,0
2.216,27.75,0
2.219,27.75,0
2.223,27.75,0
2.227,27.75,0
2.231,27.75,0
2.235,27.75,0
2.239,27.75,0
2.243,27.75,0
2.248,27.75,0
2.255,27.75,0
2.255,27.75,0
2.259,27.75,0
2.263,27.75,0
2.267,27.75,0
2.271,27.75,0
2.275,27.75,0
2.279,27.75,0
2.283,27.75,0
