Time(sec),Temperature(C),PWM(%)
0.004,28.00,0
0.007,28.00,0
0.011,28.00,0
0.015,28.00,0
0.019,28.00,0
0.023,28.00,0
0.027,28.00,0
0.031,28.00,0
0.035,28.00,0
0.039,28.00,0
0.043,28.00,0
0.052,28.00,0
0.052,28.00,0
0.055,28.00,0
0.067,28.00,0
0.067,28.00,0
0.067,28.00,0
0.082,28.00,0
0.092,28.00,0
0.092,28.00,0
0.092,28.00,0
0.093,28.00,0
0.093,28.00,0
0.095,28.00,0
0.099,28.00,0
0.103,28.00,0
0.108,28.00,0
0.118,28.00,0
0.122,28.00,0
0.122,28.00,0
0.123,28.00,0
0.134,28.00,0
0.140,28.00,0
0.140,28.00,0
0.140,28.00,0
0.143,28.00,0
0.147,28.00,0
0.155,28.00,0
0.156,28.00,0
0.164,28.00,0
0.179,28.00,0
0.179,28.00,0
0.179,28.00,0
0.180,28.00,0
0.180,28.00,0
0.183,28.00,0
0.190,28.00,0
0.198,28.00,0
0.198,28.00,0
0.199,28.00,0
0.206,28.00,0
0.208,28.00,0
0.215,28.00,0
0.215,28.00,0
0.220,28.00,0
0.224,28.00,0
0.228,28.00,0
0.234,28.00,0
0.236,28.00,0
0.239,28.00,0
0.243,28.00,0
0.247,28.00,0
0.251,28.00,0
0.256,28.00,0
0.260,28.00,0
0.263,28.00,0
0.267,28.00,0
0.271,28.00,0
0.277,28.00,0
0.279,28.00,0
0.283,28.00,0
0.287,28.00,0
0.291,28.00,0
0.295,28.00,0
0.299,28.00,0
0.306,28.00,0
0.307,28.00,0
0.314,28.00,0
0.318,28.00,0
0.319,28.00,0
0.323,28.00,0
0.327,28.00,0
0.331,28.00,0
0.335,28.00,0
0.339,28.00,0
0.343,28.00,0
0.348,28.00,0
0.353,28.00,0
0.356,28.00,0
0.365,28.00,0
0.365,28.00,0
0.377,28.00,0
0.377,28.00,0
0.377,28.00,0
0.379,28.00,0
0.387,28.00,0
0.387,28.00,0
0.392,28.00,0
0.395,28.00,0
0.403,28.00,0
0.403,28.00,0
0.409,28.00,0
0.412,28.00,0
0.416,28.00,0
0.420,28.00,0
0.425,28.00,0
0.427,28.00,0
0.431,28.00,0
0.435,28.00,0
0.439,28.00,0
0.443,28.00,0
0.447,28.00,0
0.456,28.00,0
0.456,28.00,0
0.463,28.00,0
0.464,28.00,0
0.469,28.00,0
0.471,28.00,0
0.478,28.00,0
0.479,28.00,0
0.483,28.00,0
0.487,28.00,0
0.491,28.00,0
0.495,28.00,0
0.499,28.00,0
0.505,28.00,0
0.508,28.00,0
0.513,28.00,0
0.518,28.00,0
0.519,28.00,0
0.523,28.00,0
0.527,28.00,0
0.531,28.00,0
0.535,28.00,0
0.539,28.00,0
0.543,28.00,0
0.547,28.00,0
0.553,28.00,0
0.555,28.00,0
0.565,28.00,0
0.572,28.00,0
0.572,28.00,0
0.572,28.00,0
0.576,28.00,0
0.579,28.00,0
0.586,28.00,0
0.590,28.00,0
0.591,28.00,0
0.600,28.00,0
0.603,28.00,0
0.607,28.00,0
0.614,28.00,0
0.615,28.00,0
0.619,28.00,0
0.623,28.00,0
0.627,28.00,0
0.631,28.00,0
0.635,28.00,0
0.639,28.00,0
0.644,28.00,0
0.656,28.00,0
0.656,28.00,0
0.656,28.00,0
0.662,28.00,0
0.665,28.00,0
0.669,28.00,0
0.671,28.00,0
0.675,28.00,0
0.679,28.00,0
0.685,28.00,0
0.689,28.00,0
0.694,28.00,0
0.695,28.00,0
0.699,28.00,0
0.705,28.00,0
0.707,28.00,0
0.717,28.00,0
0.719,28.00,0
0.724,28.00,0
0.729,28.00,0
0.732,28.00,0
0.735,28.00,0
0.739,28.00,0
0.743,28.00,0
0.747,28.00,0
0.756,28.00,0
0.760,28.00,0
0.766,28.00,0
0.767,28.00,0
0.772,28.00,0
0.776,28.00,0
0.779,28.00,0
0.783,28.00,0
0.787,28.00,0
0.791,28.00,0
0.795,28.00,0
0.799,28.00,0
0.803,28.00,0
0.808,28.00,0
0.813,28.00,0
0.815,28.00,0
0.820,28.00,0
0.824,28.00,0
0.827,28.00,0
0.831,28.00,0
0.835,28.00,0
0.839,28.00,0
0.843,28.00,0
0.847,28.00,0
0.857,28.00,0
0.860,28.00,0
0.868,28.00,0
0.870,28.00,0
0.884,28.00,0
0.884,28.00,0
0.884,28.00,0
0.884,28.00,0
0.889,28.00,0
0.893,28.00,0
0.900,28.00,0
0.900,28.00,0
0.903,28.00,0
0.910,28.00,0
0.911,28.00,0
0.918,28.00,0
0.922,28.00,0
0.924,28.00,0
0.927,28.00,0
0.931,28.00,0
0.935,28.00,0
0.939,28.00,0
0.943,28.00,0
0.947,28.00,0
0.957,28.00,0
0.957,28.00,0
0.959,28.00,0
0.965,28.00,0
0.969,28.00,0
0.971,28.00,0
0.975,28.00,0
0.979,28.00,0
0.983,28.00,0
0.987,28.00,0
0.991,28.00,0
0.995,28.00,0
0.999,28.00,0
1.006,28.00,0
1.007,28.00,0
1.015,28.00,0
1.015,28.00,0
1.019,28.00,0
1.023,28.00,0
1.028,28.00,0
1.031,28.00,0
1.035,28.00,0
1.039,28.00,0
1.043,28.00,0
1.047,28.00,0
1.057,28.00,0
1.060,28.00,0
1.065,28.00,0
1.069,28.00,0
1.071,28.00,0
1.075,28.00,0
1.079,28.00,0
1.083,28.00,0
1.087,28.00,0
1.091,28.00,0
1.095,28.00,0
1.099,28.00,0
1.107,28.00,0
1.107,28.00,0
