Time(sec),Temperature(C),PWM(%)
0.001,28.75,0
0.005,28.75,0
0.009,28.75,0
0.013,28.75,0
0.017,28.75,0
0.021,28.75,0
0.025,28.75,0
0.029,28.75,0
0.033,28.75,0
0.037,28.75,0
0.046,28.75,0
0.046,28.75,0
0.051,28.75,0
0.060,28.75,0
0.066,28.75,0
0.073,28.75,0
0.084,28.75,0
0.084,28.75,0
0.084,28.75,0
0.084,28.75,0
0.084,28.75,0
0.084,28.75,0
0.089,28.75,0
0.093,28.75,0
0.098,28.75,0
0.107,28.75,0
0.107,28.75,0
0.109,28.75,0
0.112,28.75,0
0.124,28.75,0
0.124,28.75,0
0.124,28.75,0
0.129,28.75,0
0.133,28.75,0
0.139,28.75,0
0.141,28.75,0
0.146,28.75,0
0.149,28.75,0
0.155,28.75,0
0.160,28.75,0
0.161,28.75,0
0.165,28.75,0
0.168,28.75,0
0.173,28.75,0
0.176,28.75,0
0.181,28.75,0
0.185,28.75,0
0.188,28.75,0
0.193,28.75,0
0.197,28.75,0
0.203,28.75,0
0.209,28.75,0
0.209,28.75,0
0.217,28.75,0
0.217,28.75,0
0.220,28.75,0
0.224,28.75,0
0.228,28.75,0
0.233,28.75,0
0.237,28.75,0
0.244,28.75,0
0.245,28.75,0
0.249,28.75,0
0.254,28.75,0
0.265,28.75,0
0.269,28.75,0
0.269,28.75,0
0.269,28.75,0
0.273,28.75,0
0.279,28.75,0
0.281,28.75,0
0.285,28.75,0
0.289,28.75,0
0.293,28.75,0
0.297,28.75,0
0.302,28.75,0
0.308,28.75,0
0.309,28.75,0
0.316,28.75,0
0.317,28.75,0
0.321,28.75,0
0.324,28.75,0
0.328,28.75,0
0.333,28.75,0
0.336,28.75,0
0.341,28.75,0
0.347,28.75,0
0.349,28.75,0
0.353,28.75,0
0.359,28.75,0
0.361,28.75,0
0.365,28.75,0
0.369,28.75,0
0.373,28.75,0
0.377,28.75,0
0.381,28.75,0
0.385,28.75,0
0.389,28.75,0
0.393,28.75,0
0.398,28.75,0
0.403,28.75,0
0.407,28.75,0
0.416,28.75,0
0.416,28.75,0
0.416,28.75,0
0.421,28.75,0
0.428,28.75,0
0.428,28.75,0
0.433,28.75,0
0.441,28.75,0
0.447,28.75,0
0.448,28.75,0
0.454,28.75,0
0.460,28.75,0
0.461,28.75,0
0.465,28.75,0
0.468,28.75,0
0.473,28.75,0
0.476,28.75,0
0.480,28.75,0
0.484,28.75,0
0.488,28.75,0
0.493,28.75,0
0.497,28.75,0
0.503,28.75,0
0.508,28.75,0
0.509,28.75,0
0.512,28.75,0
