Time(sec),Temperature(C),PWM(%)
0.002,28.25,0
0.006,28.25,0
0.010,28.25,0
0.014,28.25,0
0.018,28.25,0
0.022,28.25,0
0.026,28.25,0
0.030,28.25,0
0.034,28.25,0
0.041,28.25,0
0.043,28.25,0
0.046,28.25,0
0.057,28.25,0
0.069,28.25,0
0.081,28.25,0
0.081,28.25,0
0.082,28.25,0
0.082,28.25,0
0.082,28.25,0
0.082,28.25,0
0.082,28.25,0
0.086,28.25,0
0.091,28.25,0
0.096,28.25,0
0.107,28.25,0
0.107,28.25,0
0.107,28.25,0
0.117,28.25,0
0.117,28.25,0
0.118,28.25,0
0.123,28.25,0
0.132,28.25,0
0.132,28.25,0
0.134,28.25,0
0.140,28.25,0
0.144,28.25,0
0.146,28.25,0
0.155,28.25,0
0.161,28.25,0
0.162,28.25,0
0.168,28.25,0
0.170,28.25,0
0.174,28.25,0
0.178,28.25,0
0.182,28.25,0
0.186,28.25,0
0.192,28.25,0
0.194,28.25,0
0.201,28.25,0
0.205,28.25,0
0.206,28.25,0
0.210,28.25,0
0.214,28.25,0
0.218,28.25,0
0.222,28.25,0
0.226,28.25,0
0.231,28.25,0
0.234,28.25,0
0.238,28.25,0
0.243,28.25,0
0.247,28.25,0
0.250,28.25,0
0.254,28.25,0
0.262,28.25,0
0.266,28.25,0
0.270,28.25,0
0.274,28.25,0
0.278,28.25,0
0.282,28.25,0
0.286,28.25,0
0.293,28.25,0
0.294,28.25,0
0.300,28.25,0
0.305,28.25,0
0.306,28.25,0
0.310,28.25,0
0.314,28.25,0
0.318,28.25,0
0.322,28.25,0
0.326,28.25,0
0.330,28.25,0
0.334,28.25,0
0.339,28.25,0
0.346,28.25,0
0.346,28.25,0
0.351,28.25,0
0.354,28.25,0
0.359,28.25,0
0.362,28.25,0
0.368,28.25,0
0.370,28.25,0
0.374,28.25,0
0.378,28.25,0
0.382,28.25,0
0.386,28.25,0
0.390,28.25,0
0.395,28.25,0
0.398,28.25,0
0.404,28.25,0
0.409,28.25,0
0.410,28.25,0
0.414,28.25,0
0.418,28.25,0
0.422,28.25,0
0.426,28.25,0
0.430,28.25,0
0.434,28.25,0
0.438,28.25,0
0.445,28.25,0
0.447,28.25,0
0.456,28.25,0
0.456,28.25,0
0.465,28.25,0
0.466,28.25,0
0.466,28.25,0
0.470,28.25,0
0.476,28.25,0
0.478,28.25,0
0.482,28.25,0
0.487,28.25,0
0.493,28.25,0
0.494,28.25,0
0.498,28.25,0
0.502,28.25,0
0.506,28.25,0
0.510,28.25,0
0.514,28.25,0
0.518,28.25,0
0.522,28.25,0
0.526,28.25,0
0.530,28.25,0
0.534,28.25,0
0.538,28.25,0
0.543,28.25,0
0.546,28.25,0
0.551,28.25,0
0.555,28.25,0
0.558,28.25,0
0.562,28.25,0
0.566,28.25,0
0.574,28.25,0
0.574,28.25,0
0.578,28.25,0
0.582,28.25,0
0.587,28.25,0
0.593,28.25,0
0.594,28.25,0
0.600,28.25,0
0.604,28.25,0
0.606,28.25,0
0.610,28.25,0
0.614,28.25,0
0.618,28.25,0
0.622,28.25,0
0.626,28.25,0
0.630,28.25,0
0.634,28.25,0
0.640,28.25,0
0.643,28.25,0
0.646,28.25,0
0.652,28.25,0
