Time(sec),Temperature(C),PWM(%)
0.001,13.00,0
0.005,13.00,0
0.009,13.00,0
0.013,13.00,0
0.017,13.00,0
0.021,13.00,0
0.025,13.00,0
0.029,13.00,0
0.033,13.00,0
0.042,13.00,0
0.042,13.00,0
0.045,13.00,0
0.050,13.00,0
0.058,13.00,0
0.064,13.00,0
0.070,13.00,0
0.072,13.00,0
0.072,13.00,0
0.083,13.00,0
0.084,13.00,0
0.084,13.00,0
0.085,13.00,0
0.089,13.00,0
0.097,13.00,0
0.098,13.00,0
0.109,13.00,0
0.109,13.00,0
0.109,13.00,0
0.119,13.00,0
0.119,13.00,0
0.121,13.00,0
0.129,13.00,0
0.134,13.00,0
0.138,13.00,0
0.141,13.00,0
0.147,13.00,0
0.149,13.00,0
0.157,13.00,0
0.164,13.00,0
0.165,13.00,0
0.169,13.00,0
0.173,13.00,0
0.177,13.00,0
0.181,13.00,0
0.185,13.00,0
0.189,13.00,0
0.197,13.00,0
0.197,13.00,0
0.201,13.00,0
0.205,13.00,0
0.209,13.00,0
0.213,13.00,0
0.217,13.00,0
0.221,13.00,0
0.225,13.00,0
0.229,13.00,0
0.233,13.00,0
0.238,13.00,0
0.241,13.00,0
0.245,13.00,0
0.250,13.00,0
0.253,13.00,0
0.261,13.00,0
0.265,13.00,0
0.269,13.00,0
0.273,13.00,0
0.277,13.00,0
0.281,13.00,0
0.286,13.00,0
0.289,13.00,0
0.297,13.00,0
0.305,13.00,0
0.306,13.00,0
0.306,13.00,0
0.311,13.00,0
0.314,13.00,0
0.317,13.00,0
0.323,13.00,0
0.330,13.00,0
0.330,13.00,0
0.333,13.00,0
0.337,13.00,0
0.341,13.00,0
0.348,13.00,0
0.349,13.00,0
0.353,13.00,0
0.357,13.00,0
0.361,13.00,0
0.366,13.00,0
0.369,13.00,0
0.373,13.00,0
0.377,13.00,0
0.381,13.00,0
0.387,13.00,0
0.390,13.00,0
0.397,13.25,0
0.404,13.25,0
0.404,13.25,0
0.407,13.25,0
0.409,13.25,0
0.413,13.25,0
0.417,13.25,0
0.422,13.25,0
0.425,13.25,0
0.429,13.25,0
0.433,13.25,0
0.440,13.25,0
0.441,13.25,0
0.448,13.25,0
0.454,13.25,0
0.454,13.25,0
0.457,13.25,0
0.469,13.25,0
0.469,13.25,0
0.469,13.25,0
0.473,13.25,0
0.483,13.25,0
0.483,13.25,0
0.486,13.25,0
0.489,13.25,0
0.493,13.25,0
0.498,13.25,0
0.504,13.25,0
0.505,13.25,0
0.509,13.25,0
0.515,13.25,0
0.517,13.25,0
0.521,13.25,0
0.525,13.25,0
0.529,13.25,0
0.533,13.25,0
0.538,13.25,0
0.542,13.25,0
0.545,13.00,0
0.550,13.00,0
0.553,13.00,0
0.557,13.00,0
0.561,13.00,0
0.565,13.00,0
0.569,13.00,0
0.577,13.00,0
0.581,13.00,0
0.586,13.00,0
0.589,13.00,0
0.605,13.00,0
0.607,13.00,0
0.607,13.00,0
0.607,13.00,0
0.609,13.00,0
0.613,13.00,0
0.617,13.00,0
0.621,13.00,0
0.625,13.00,0
0.629,13.00,0
0.633,13.00,0
0.639,13.00,0
0.641,13.00,0
0.646,13.00,0
0.651,13.00,0
0.653,13.00,0
0.657,13.00,0
0.661,13.00,0
0.665,13.00,0
0.669,13.00,0
0.673,13.00,0
0.681,13.00,0
0.688,13.00,0
0.689,13.00,0
0.695,13.25,0
0.700,13.25,0
0.701,13.25,0
0.705,13.25,0
0.709,13.25,0
0.713,13.25,0
0.717,13.25,0
0.721,13.25,0
0.725,13.25,0
0.729,13.25,0
0.733,13.25,0
0.738,13.25,0
0.745,13.25,0
0.746,13.25,0
0.751,13.25,0
0.753,13.25,0
0.757,13.25,0
0.761,13.25,0
0.765,13.00,0
0.769,13.00,0
0.773,13.00,0
0.777,13.00,0
0.781,13.00,0
0.789,13.00,0
0.789,13.00,0
0.793,13.00,0
0.797,13.00,0
0.801,13.00,0
0.805,13.00,0
0.809,13.00,0
0.813,13.00,0
0.817,13.00,0
0.821,13.00,0
0.825,13.00,0
0.829,13.00,0
0.833,13.00,0
0.839,13.00,0
0.841,13.25,0
0.847,13.25,0
0.852,13.25,0
0.854,13.25,0
0.857,13.25,0
0.861,13.25,0
0.865,13.25,0
0.869,13.25,0
0.873,13.25,0
0.878,13.25,0
0.881,13.25,0
0.889,13.25,0
0.897,13.25,0
0.905,13.25,0
0.913,13.25,0
0.914,13.25,0
0.914,13.25,0
0.914,13.00,0
0.917,13.00,0
0.925,13.00,0
0.925,13.00,0
0.931,13.00,0
0.934,13.00,0
0.941,13.00,0
0.941,13.00,0
0.945,13.00,0
0.951,13.00,0
0.953,13.00,0
0.957,13.00,0
0.961,13.00,0
0.965,13.00,0
0.969,13.00,0
0.973,13.00,0
0.977,13.00,0
0.981,13.00,0
0.989,13.00,0
0.989,13.00,0
0.993,13.00,0
0.997,13.00,0
1.001,13.00,0
1.005,13.00,0
1.009,13.00,0
1.013,13.00,0
1.017,13.00,0
1.021,13.00,0
1.025,13.00,0
1.029,13.00,0
1.033,13.00,0
1.039,13.00,0
1.041,13.00,0
1.047,13.00,0
1.051,13.00,0
1.053,13.00,0
1.057,13.00,0
