Time(sec),Temperature(C),PWM(%)
0.002,19.50,0
0.006,19.50,0
0.010,19.50,0
0.014,19.50,0
0.017,19.50,0
0.021,19.50,0
0.025,19.50,0
0.030,19.50,0
0.033,19.50,0
0.038,19.50,0
0.042,19.50,0
0.049,19.50,0
0.050,19.50,0
0.056,19.50,0
0.060,19.50,0
0.062,19.50,0
0.070,19.50,0
0.074,19.50,0
0.078,19.50,0
0.082,19.50,0
0.086,19.50,0
0.090,19.50,0
0.097,19.50,0
0.098,19.50,0
0.104,19.50,0
0.108,19.50,0
0.110,19.50,0
0.114,19.50,0
0.117,19.50,0
0.121,19.50,0
0.126,19.50,0
0.130,19.50,0
0.134,19.50,0
0.138,19.50,0
0.142,19.50,0
0.150,19.50,0
0.150,19.50,0
0.154,19.50,0
0.158,19.50,0
0.163,19.50,0
0.166,19.50,0
0.170,19.50,0
0.174,19.50,0
0.178,19.50,0
0.182,19.50,0
0.186,19.50,0
0.190,19.50,0
0.196,19.50,0
0.201,19.50,0
0.201,19.50,0
0.207,19.50,0
0.212,19.50,0
0.215,19.50,0
0.218,19.50,0
0.222,19.50,0
0.226,19.50,0
0.230,19.50,0
0.234,19.50,0
0.237,19.50,0
0.242,19.50,0
0.249,19.50,0
0.249,19.50,0
0.255,19.50,0
0.259,19.50,0
0.262,19.50,0
0.266,19.50,0
0.270,19.50,0
0.273,19.50,0
0.278,19.50,0
0.282,19.50,0
0.286,19.50,0
0.289,19.50,0
0.295,19.50,0
0.299,19.50,0
0.305,19.50,0
0.306,19.50,0
0.310,19.50,0
0.314,19.50,0
0.317,19.50,0
0.322,19.50,0
0.326,19.50,0
0.330,19.50,0
0.333,19.50,0
0.338,19.50,0
0.342,19.50,0
0.349,19.50,0
0.350,19.50,0
0.356,19.50,0
0.360,19.50,0
0.363,19.50,0
0.366,19.50,0
0.369,19.50,0
0.373,19.50,0
0.378,19.50,0
0.382,19.50,0
0.386,19.50,0
0.390,19.50,0
0.394,19.50,0
0.399,19.50,0
0.402,19.50,0
0.406,19.50,0
0.410,19.50,0
0.414,19.50,0
0.417,19.50,0
0.421,19.50,0
0.426,19.50,0
0.430,19.50,0
0.433,19.50,0
0.438,19.50,0
0.443,19.50,0
0.450,19.50,0
0.450,19.50,0
0.458,19.50,0
0.458,19.50,0
0.463,19.50,0
0.466,19.50,0
0.469,19.50,0
0.474,19.50,0
0.478,19.50,0
0.482,19.50,0
0.485,19.50,0
0.489,19.50,0
0.494,19.50,0
0.500,19.50,0
0.502,19.50,0
0.507,19.50,0
0.511,19.50,0
0.514,19.50,0
0.518,19.50,0
0.521,19.50,0
0.525,19.50,0
0.530,19.50,0
0.534,19.50,0
0.537,19.50,0
0.542,19.50,0
0.550,19.50,0
0.550,19.50,0
0.555,19.50,0
0.559,19.50,0
0.562,19.50,0
0.566,19.50,0
0.569,19.50,0
0.573,19.50,0
0.577,19.50,0
0.582,19.50,0
0.585,19.50,0
0.589,19.50,0
0.599,19.50,0
0.599,19.50,0
0.604,19.50,0
0.608,19.50,0
0.610,19.50,0
0.613,19.50,0
0.617,19.50,0
0.621,19.50,0
0.625,19.50,0
0.629,19.50,0
0.633,19.50,0
0.638,19.50,0
0.642,19.50,0
0.650,19.50,0
0.650,19.50,0
0.656,19.50,0
0.660,19.50,0
0.662,19.50,0
0.665,19.50,0
0.669,19.50,0
0.673,19.50,0
0.677,19.50,0
0.682,19.50,0
0.685,19.50,0
0.689,19.50,0
0.694,19.50,0
0.699,19.50,0
0.701,19.50,0
0.705,19.50,0
0.710,19.50,0
0.713,19.50,0
0.717,19.50,0
0.721,19.50,0
0.725,19.50,0
0.729,19.50,0
0.733,19.50,0
0.737,19.50,0
0.742,19.50,0
0.749,19.50,0
0.749,19.50,0
0.755,19.50,0
0.759,19.50,0
0.762,19.50,0
0.766,19.50,0
0.769,19.50,0
0.773,19.50,0
0.778,19.50,0
0.782,19.50,0
0.785,19.50,0
0.790,19.50,0
0.795,19.50,0
0.800,19.50,0
0.801,19.50,0
0.808,19.50,0
0.813,19.50,0
0.814,19.50,0
0.818,19.50,0
0.822,19.50,0
0.826,19.50,0
0.830,19.50,0
0.834,19.50,0
0.838,19.50,0
0.846,19.50,0
0.849,19.50,0
0.850,19.50,0
0.857,19.50,0
0.859,19.50,0
0.868,19.50,0
0.869,19.50,0
0.871,19.50,0
0.874,19.50,0
0.881,19.50,0
0.882,19.50,0
0.886,19.50,0
0.889,19.50,0
0.894,19.50,0
0.899,19.50,0
0.902,19.50,0
0.906,19.50,0
0.910,19.50,0
0.914,19.50,0
0.917,19.50,0
0.921,19.50,0
0.925,19.50,0
0.930,19.50,0
0.933,19.50,0
0.937,19.50,0
0.942,19.50,0
0.951,19.50,0
0.951,19.50,0
0.954,19.50,0
0.957,19.75,0
0.962,19.75,0
0.966,19.75,0
0.969,19.75,0
0.973,19.75,0
0.978,19.75,0
0.982,19.75,0
0.985,19.75,0
0.990,19.75,0
0.995,19.75,0
1.001,19.75,0
1.001,19.75,0
1.007,19.75,0
1.012,19.75,0
1.014,19.75,0
1.020,19.75,0
1.022,19.75,0
1.029,19.75,0
1.030,19.50,0
1.036,19.50,0
1.040,19.50,0
1.042,19.50,0
1.051,19.50,0
1.051,19.50,0
1.057,19.50,0
1.057,19.50,0
1.062,19.50,0
1.066,19.50,0
1.070,19.50,0
1.074,19.50,0
1.078,19.50,0
1.082,19.50,0
1.085,19.50,0
