Time(sec),Temperature(C),PWM(%)
0.001,27.25,0
0.005,27.25,0
0.009,27.25,0
0.013,27.25,0
0.017,27.25,0
0.021,27.25,0
0.025,27.25,0
0.030,27.25,0
0.033,27.25,0
0.040,27.25,0
0.041,27.25,0
0.047,27.25,0
0.052,27.25,0
0.053,27.25,0
0.057,27.25,0
0.061,27.25,0
0.065,27.25,0
0.069,27.25,0
0.073,27.25,0
0.077,27.25,0
0.084,27.25,0
0.085,27.25,0
0.092,27.25,0
0.096,27.25,0
0.098,27.25,0
0.105,27.25,0
0.105,27.25,0
0.109,27.25,0
0.113,27.25,0
0.117,27.25,0
0.121,27.25,0
0.125,27.25,0
0.131,27.25,0
0.134,27.25,0
0.138,27.25,0
0.142,27.25,0
0.145,27.25,0
0.149,27.25,0
0.153,27.25,0
0.157,27.25,0
0.161,27.25,0
0.165,27.25,0
0.169,27.25,0
0.174,27.25,0
0.180,27.25,0
0.181,27.25,0
0.187,27.25,0
0.192,27.25,0
0.193,27.25,0
0.197,27.25,0
0.206,27.25,0
0.209,27.25,0
0.213,27.25,0
0.217,27.25,0
0.221,27.25,0
0.228,27.25,0
0.229,27.25,0
0.235,27.25,0
0.241,27.25,0
0.242,27.25,0
0.245,27.25,0
0.249,27.25,0
0.253,27.25,0
0.257,27.25,0
0.261,27.25,0
0.265,27.25,0
0.269,27.25,0
0.274,27.25,0
0.278,27.25,0
0.285,27.25,0
0.292,27.25,0
0.295,27.25,0
0.295,27.25,0
0.298,27.25,0
0.304,27.25,0
0.305,27.25,0
0.309,27.25,0
0.318,27.25,0
0.322,27.25,0
0.328,27.25,0
0.329,27.25,0
0.335,27.25,0
0.342,27.25,0
0.342,27.25,0
0.345,27.25,0
0.349,27.25,0
0.353,27.25,0
0.357,27.25,0
0.361,27.25,0
0.365,27.25,0
0.369,27.25,0
0.373,27.25,0
0.377,27.25,0
0.384,27.25,0
0.390,27.25,0
0.390,27.25,0
0.393,27.25,0
0.397,27.25,0
0.401,27.25,0
0.405,27.25,0
0.409,27.25,0
0.416,27.25,0
0.417,27.25,0
0.421,27.25,0
0.429,27.25,0
0.429,27.25,0
