Time(sec),Temperature(C),PWM(%)
0.001,31.50,0
0.006,31.50,0
0.018,31.50,0
0.022,31.50,0
0.022,31.50,0
0.022,31.50,0
0.025,31.50,0
0.034,31.50,0
0.034,31.50,0
0.043,31.50,0
0.043,31.50,0
0.046,31.50,0
0.052,31.50,0
0.053,31.50,0
0.057,31.50,0
0.062,31.50,0
0.070,31.50,0
0.070,31.50,0
0.074,31.50,0
0.077,31.50,0
0.081,31.50,0
0.085,31.50,0
0.089,31.50,0
0.093,31.50,0
0.097,31.50,0
0.101,31.50,0
0.105,31.50,0
0.109,31.50,0
0.113,31.50,0
0.122,31.50,0
0.122,31.50,0
0.126,31.50,0
0.129,31.50,0
0.134,31.50,0
0.137,31.50,0
0.141,31.50,0
0.145,31.50,0
0.149,31.50,0
0.153,31.50,0
0.157,31.50,0
0.164,31.50,0
0.166,31.50,0
0.175,31.50,0
0.184,31.50,0
0.190,31.50,0
0.191,31.50,0
0.191,31.50,0
0.191,31.50,0
0.193,31.50,0
0.202,31.50,0
0.202,31.50,0
0.208,31.50,0
0.210,31.50,0
0.215,31.50,0
0.223,31.50,0
0.223,31.50,0
0.230,31.50,0
0.230,31.50,0
0.234,31.50,0
0.238,31.50,0
0.243,31.50,0
0.245,31.50,0
0.251,31.50,0
0.253,31.50,0
0.257,31.50,0
0.261,31.50,0
0.268,31.50,0
0.270,31.50,0
0.279,31.50,0
0.287,31.50,0
0.295,31.50,0
0.295,31.50,0
0.295,31.50,0
0.295,31.50,0
0.297,31.50,0
0.302,31.50,0
0.307,31.50,0
0.312,31.50,0
0.314,31.50,0
0.317,31.50,0
0.324,31.50,0
0.325,31.50,0
0.330,31.50,0
0.336,31.50,0
0.337,31.50,0
0.345,31.50,0
0.349,31.50,0
0.353,31.50,0
0.357,31.50,0
0.361,31.50,0
0.365,31.50,0
0.369,31.50,0
0.376,31.50,0
0.377,31.50,0
0.382,31.50,0
0.388,31.50,0
0.390,31.50,0
0.393,31.50,0
0.397,31.50,0
0.401,31.50,0
0.405,31.50,0
0.409,31.50,0
0.413,31.50,0
0.417,31.50,0
0.425,31.50,0
0.426,31.50,0
0.436,31.50,0
0.437,31.50,0
0.441,31.50,0
0.452,31.50,0
0.455,31.50,0
0.455,31.50,0
0.455,31.50,0
0.457,31.50,0
0.463,31.50,0
0.469,31.50,0
0.469,31.50,0
0.473,31.50,0
0.480,31.50,0
0.481,31.50,0
0.488,31.50,0
0.489,31.50,0
0.493,31.50,0
0.497,31.50,0
0.501,31.50,0
0.505,31.50,0
0.509,31.50,0
0.513,31.50,0
0.517,31.50,0
0.521,31.50,0
0.534,31.50,0
0.534,31.50,0
0.537,31.50,0
0.542,31.50,0
0.546,31.50,0
0.549,31.50,0
0.553,31.50,0
0.557,31.50,0
0.561,31.50,0
0.565,31.50,0
0.569,31.50,0
0.573,31.50,0
0.578,31.50,0
0.581,31.50,0
0.587,31.50,0
0.589,31.50,0
0.596,31.50,0
0.597,31.50,0
0.604,31.50,0
0.605,31.50,0
0.609,31.50,0
0.613,31.50,0
0.617,31.50,0
0.621,31.50,0
0.630,31.50,0
0.635,31.50,0
0.638,31.50,0
0.642,31.50,0
0.645,31.50,0
0.649,31.50,0
0.653,31.50,0
0.657,31.50,0
0.661,31.50,0
0.665,31.50,0
0.669,31.50,0
0.673,31.50,0
0.678,31.50,0
0.681,31.50,0
0.688,31.50,0
0.691,31.50,0
0.703,31.50,0
0.703,31.50,0
0.703,31.50,0
0.705,31.50,0
0.711,31.50,0
0.717,31.50,0
0.717,31.50,0
0.721,31.50,0
0.731,31.50,0
0.733,31.50,0
0.739,31.50,0
0.743,31.50,0
0.745,31.50,0
0.749,31.50,0
0.753,31.50,0
0.757,31.50,0
0.761,31.50,0
0.765,31.50,0
0.769,31.50,0
0.773,31.50,0
0.778,31.50,0
0.787,31.50,0
0.790,31.50,0
0.790,31.50,0
0.805,31.50,0
0.805,31.50,0
0.805,31.50,0
0.805,31.50,0
0.810,31.50,0
0.815,31.50,0
0.822,31.50,0
0.822,31.50,0
0.825,31.50,0
0.832,31.50,0
0.833,31.50,0
0.838,31.50,0
0.841,31.50,0
0.845,31.50,0
0.849,31.50,0
0.853,31.50,0
0.857,31.50,0
0.861,31.50,0
0.865,31.50,0
0.869,31.50,0
0.873,31.50,0
0.880,31.50,0
0.881,31.50,0
0.888,31.50,0
0.889,31.50,0
0.893,31.50,0
0.897,31.50,0
0.901,31.50,0
0.905,31.50,0
0.909,31.50,0
0.913,31.50,0
0.917,31.50,0
0.921,31.50,0
0.927,31.50,0
0.932,31.50,0
0.939,31.50,0
0.941,31.50,0
0.948,31.50,0
0.951,31.50,0
0.951,31.50,0
0.953,31.50,0
0.960,31.50,0
0.961,31.50,0
0.965,31.50,0
0.969,31.50,0
0.973,31.50,0
0.980,31.50,0
0.981,31.50,0
0.988,31.50,0
0.989,31.50,0
0.993,31.50,0
0.997,31.50,0
1.001,31.50,0
1.005,31.50,0
1.009,31.50,0
1.013,31.50,0
1.017,31.50,0
1.021,31.50,0
1.027,31.50,0
1.032,31.50,0
1.038,31.50,0
1.038,31.50,0
1.047,31.50,0
1.048,31.50,0
1.049,31.50,0
1.058,31.50,0
1.058,31.50,0
1.062,31.50,0
1.065,31.50,0
1.069,31.50,0
1.073,31.50,0
1.080,31.50,0
1.081,31.50,0
1.085,31.50,0
1.089,31.50,0
1.093,31.50,0
1.097,31.50,0
1.101,31.50,0
1.105,31.50,0
1.109,31.50,0
1.113,31.50,0
1.117,31.50,0
1.121,31.50,0
1.131,31.50,0
1.133,31.50,0
1.139,31.50,0
1.144,31.50,0
1.146,31.50,0
1.149,31.50,0
1.153,31.50,0
1.157,31.50,0
1.161,31.50,0
1.165,31.50,0
1.169,31.50,0
1.173,31.50,0
1.180,31.50,0
1.181,31.50,0
1.187,31.50,0
1.192,31.50,0
1.194,31.50,0
1.197,31.50,0
1.201,31.50,0
1.205,31.50,0
1.209,31.50,0
1.213,31.50,0
1.217,31.50,0
1.221,31.50,0
1.228,31.50,0
1.230,31.50,0
1.234,31.50,0
1.241,31.50,0
1.241,31.50,0
1.246,31.50,0
1.249,31.50,0
1.255,31.50,0
1.257,31.50,0
1.261,31.50,0
1.265,31.50,0
1.269,31.50,0
1.273,31.50,0
1.280,31.50,0
1.281,31.50,0
1.287,31.50,0
1.291,31.50,0
1.293,31.50,0
1.297,31.50,0
1.301,31.50,0
1.305,31.50,0
1.309,31.50,0
1.313,31.50,0
1.317,31.50,0
1.321,31.50,0
1.330,31.50,0
1.335,31.50,0
1.338,31.50,0
1.342,31.50,0
1.345,31.50,0
1.349,31.50,0
1.353,31.50,0
1.357,31.50,0
1.361,31.50,0
1.365,31.50,0
1.369,31.50,0
1.373,31.50,0
1.377,31.50,0
1.381,31.50,0
1.390,31.50,0
1.390,31.50,0
1.394,31.50,0
1.397,31.50,0
1.401,31.50,0
1.405,31.50,0
1.409,31.50,0
1.413,31.50,0
1.417,31.50,0
1.421,31.50,0
1.430,31.50,0
1.430,31.50,0
1.439,31.50,0
1.441,31.50,0
1.442,31.50,0
1.453,31.50,0
1.453,31.50,0
1.453,31.50,0
1.459,31.50,0
1.462,31.50,0
1.468,31.50,0
1.469,31.50,0
1.473,31.50,0
1.477,31.50,0
1.481,31.50,0
1.485,31.50,0
1.489,31.50,0
1.493,31.50,0
1.497,31.50,0
1.501,31.50,0
1.505,31.50,0
1.509,31.50,0
1.513,31.50,0
1.517,31.50,0
1.521,31.50,0
1.530,31.50,0
1.535,31.50,0
1.538,31.50,0
1.542,31.50,0
1.545,31.50,0
1.549,31.50,0
1.553,31.50,0
1.557,31.50,0
1.561,31.50,0
1.565,31.50,0
1.569,31.50,0
1.573,31.50,0
1.578,31.50,0
1.587,31.50,0
1.589,31.50,0
1.593,31.50,0
1.599,31.50,0
1.607,31.50,0
1.607,31.50,0
1.607,31.50,0
1.609,31.50,0
1.617,31.50,0
1.617,31.50,0
1.624,31.50,0
1.626,31.50,0
1.635,31.50,0
1.635,31.50,0
1.637,31.50,0
1.642,31.50,0
1.647,31.50,0
1.649,31.50,0
1.653,31.50,0
1.657,31.50,0
1.661,31.50,0
1.665,31.50,0
1.669,31.50,0
1.673,31.50,0
1.677,31.50,0
1.681,31.50,0
1.686,31.50,0
1.689,31.50,0
1.693,31.50,0
1.697,31.50,0
1.701,31.50,0
1.705,31.50,0
1.709,31.50,0
1.713,31.50,0
1.717,31.50,0
1.721,31.50,0
1.729,31.50,0
1.731,31.50,0
1.739,31.50,0
1.742,31.50,0
1.742,31.50,0
1.756,31.50,0
1.756,31.50,0
1.756,31.50,0
1.757,31.50,0
1.762,31.50,0
1.766,31.50,0
1.773,31.50,0
1.773,31.50,0
1.777,31.50,0
1.784,31.50,0
1.785,31.50,0
1.789,31.50,0
1.793,31.50,0
1.797,31.50,0
1.801,31.50,0
1.805,31.50,0
1.809,31.50,0
1.813,31.50,0
1.817,31.50,0
1.821,31.50,0
1.831,31.50,0
1.833,31.50,0
1.839,31.50,0
1.844,31.50,0
1.845,31.50,0
1.849,31.50,0
1.853,31.50,0
1.857,31.50,0
1.861,31.50,0
1.865,31.50,0
1.869,31.50,0
1.873,31.50,0
1.881,31.50,0
1.881,31.50,0
1.889,31.50,0
1.889,31.50,0
1.894,31.50,0
1.897,31.50,0
1.901,31.50,0
1.905,31.50,0
1.909,31.50,0
1.913,31.50,0
1.917,31.50,0
1.921,31.50,0
1.931,31.50,0
1.933,31.50,0
1.939,31.50,0
1.944,31.50,0
1.945,31.50,0
1.949,31.50,0
1.953,31.50,0
1.957,31.50,0
1.961,31.50,0
1.965,31.50,0
1.970,31.50,0
1.973,31.50,0
1.978,31.50,0
1.981,31.50,0
1.989,31.50,0
1.992,31.50,0
2.002,31.50,0
2.005,31.50,0
2.005,31.50,0
2.005,31.50,0
2.011,31.50,0
2.015,31.50,0
2.022,31.50,0
2.022,31.50,0
2.026,31.50,0
2.033,31.50,0
2.033,31.50,0
2.041,31.50,0
2.041,31.50,0
2.046,31.50,0
2.049,31.50,0
2.053,31.50,0
2.057,31.50,0
2.061,31.50,0
2.065,31.50,0
2.069,31.50,0
2.073,31.50,0
2.081,31.50,0
2.081,31.50,0
2.085,31.50,0
2.089,31.50,0
2.094,31.50,0
2.097,31.50,0
2.101,31.50,0
2.105,31.50,0
2.109,31.50,0
2.113,31.50,0
2.117,31.50,0
2.121,31.50,0
2.131,31.50,0
2.133,31.50,0
2.137,31.50,0
2.141,31.50,0
2.145,31.50,0
2.149,31.50,0
2.153,31.50,0
2.157,31.50,0
2.161,31.50,0
2.165,31.50,0
2.169,31.50,0
2.173,31.50,0
2.177,31.50,0
2.181,31.50,0
2.188,31.50,0
2.191,31.50,0
2.195,31.50,0
2.197,31.50,0
2.201,31.50,0
2.205,31.50,0
2.209,31.50,0
2.213,31.50,0
2.217,31.25,0
2.221,31.25,0
2.232,31.25,0
2.233,31.25,0
2.241,31.25,0
2.241,31.25,0
2.245,31.25,0
2.253,31.25,0
2.253,31.25,0
2.262,31.25,0
2.262,31.25,0
2.270,31.25,0
2.270,31.25,0
2.274,31.25,0
2.277,31.25,0
2.284,31.25,0
2.285,31.25,0
2.292,31.25,0
2.293,31.25,0
2.298,31.25,0
2.301,31.25,0
2.305,31.25,0
2.309,31.25,0
2.313,31.25,0
2.317,31.25,0
2.321,31.25,0
2.331,31.25,0
2.333,31.25,0
2.340,31.25,0
2.344,31.25,0
2.346,31.25,0
2.349,31.25,0
2.353,31.25,0
2.357,31.25,0
2.361,31.25,0
2.365,31.50,0
2.369,31.50,0
2.373,31.50,0
2.379,31.50,0
2.381,31.50,0
2.387,31.50,0
2.390,31.50,0
2.393,31.50,0
2.397,31.50,0
2.401,31.50,0
2.405,31.50,0
2.409,31.50,0
2.413,31.50,0
2.417,31.50,0
2.421,31.50,0
2.431,31.50,0
2.433,31.50,0
2.438,31.50,0
2.441,31.50,0
2.446,31.50,0
2.449,31.50,0
2.453,31.50,0
