Time(sec),Temperature(C),PWM(%)
0.001,23.25,0
0.005,23.25,0
0.009,23.25,0
0.013,23.25,0
0.017,23.25,0
0.021,23.25,0
0.025,23.25,0
0.029,23.25,0
0.033,23.25,0
0.037,23.25,0
0.041,23.25,0
0.045,23.25,0
0.050,23.25,0
0.058,23.25,0
0.058,23.25,0
0.063,23.25,100
0.071,23.25,100
0.085,23.25,100
0.085,23.25,100
0.085,23.25,100
0.085,23.25,100
0.085,23.25,100
0.089,23.25,100
0.097,23.25,100
0.097,23.25,100
0.102,23.25,100
0.105,23.25,100
0.110,23.25,100
0.113,23.25,100
0.117,23.25,100
0.124,23.25,100
0.125,23.25,100
0.130,23.25,100
0.133,23.25,100
0.139,23.25,100
0.141,23.25,100
0.147,23.25,100
0.150,23.25,100
0.153,23.25,100
0.160,23.25,100
0.164,23.25,100
0.165,23.25,100
0.170,23.25,100
0.173,23.25,100
0.177,23.25,100
0.181,23.25,100
0.185,23.25,100
0.189,23.25,100
0.193,23.25,100
0.197,23.25,100
0.201,23.25,100
0.205,23.25,100
0.209,23.25,100
0.214,23.25,100
0.218,23.25,100
0.221,23.25,100
0.225,23.25,100
0.229,23.25,100
0.233,23.25,100
0.240,23.25,100
0.241,23.25,100
0.245,23.25,100
0.249,23.25,100
0.253,23.25,100
0.257,23.25,100
0.262,23.25,100
0.265,23.25,100
0.270,23.25,100
0.273,23.25,100
0.277,23.25,100
0.281,23.25,100
0.285,23.25,100
0.289,23.25,100
0.293,23.25,100
0.297,23.25,100
0.301,23.25,100
0.305,23.25,100
0.309,23.25,100
0.314,23.25,100
0.320,23.25,100
0.323,23.25,100
0.327,23.25,100
0.329,23.25,100
0.334,23.25,100
0.337,23.25,100
0.341,23.25,100
0.345,23.25,100
0.349,23.25,100
0.353,23.25,100
0.357,23.25,100
0.363,23.25,100
0.365,23.25,100
0.370,23.50,100
0.373,23.50,92
0.378,23.50,92
0.381,23.50,92
0.385,23.50,92
0.389,23.50,92
0.393,23.50,92
0.397,23.50,92
0.401,23.50,92
0.405,23.50,92
0.409,23.50,92
0.415,23.50,92
0.417,23.50,92
0.422,23.50,92
0.426,23.50,92
0.430,23.50,92
0.436,23.50,92
0.437,23.50,93
0.441,23.50,93
0.445,23.75,93
0.449,23.75,93
0.453,23.75,85
0.458,23.75,85
0.461,23.75,85
0.466,23.75,85
0.469,23.75,85
0.474,23.75,85
0.480,23.75,85
0.481,23.75,85
0.485,23.75,85
0.489,23.75,85
0.493,23.75,85
0.497,23.75,85
0.501,23.75,86
0.505,23.75,86
0.515,23.75,86
0.515,23.75,86
0.517,25.75,86
0.521,25.75,86
0.525,25.75,23
0.529,25.75,23
0.535,25.75,23
0.537,25.75,23
0.541,25.75,23
0.545,25.75,23
0.549,25.75,24
0.553,25.75,24
0.557,25.75,24
0.561,25.75,24
0.565,25.75,24
0.570,25.75,24
0.573,25.75,24
0.577,25.75,24
0.581,25.75,24
0.585,25.75,24
0.589,25.75,24
0.593,23.50,24
0.597,23.50,95
0.601,23.50,95
0.605,23.50,95
0.609,23.50,95
0.614,23.50,95
0.617,23.50,95
0.621,23.50,95
0.625,23.50,95
0.629,23.50,95
0.635,23.50,95
0.637,23.50,95
0.641,23.50,95
0.645,23.50,95
0.649,23.50,95
0.653,23.50,95
0.657,23.50,95
0.665,23.50,96
0.665,24.25,96
0.671,24.25,72
0.675,24.25,72
0.677,24.25,72
0.681,24.25,72
0.685,24.25,72
0.689,24.25,72
0.693,24.25,72
0.697,24.25,72
0.701,24.25,73
0.705,24.25,73
0.709,24.25,73
0.716,24.25,73
0.717,24.25,73
0.722,24.25,73
0.727,24.25,73
0.731,24.25,73
0.736,24.25,73
0.737,24.25,73
0.741,24.50,73
0.745,24.50,73
0.749,24.50,65
0.753,24.50,65
0.757,24.50,65
0.764,24.50,65
0.765,24.50,65
0.770,24.50,65
0.774,24.50,66
0.779,24.50,66
0.781,24.50,66
0.785,24.50,66
0.789,24.50,66
0.793,24.50,66
0.797,24.50,66
0.801,24.50,66
0.805,24.50,66
0.812,24.50,66
0.813,24.50,66
0.823,25.75,66
0.829,25.75,14
0.835,25.75,14
0.835,25.75,14
0.835,25.75,14
0.837,25.75,14
0.844,25.75,14
0.845,25.75,14
0.850,25.75,14
0.853,25.75,14
0.857,25.75,14
0.861,25.75,15
0.865,25.75,15
0.869,25.75,15
0.877,25.75,15
0.877,25.75,15
0.881,25.75,15
0.885,25.75,15
0.889,24.25,15
0.893,24.25,62
0.897,24.25,62
0.901,24.25,62
0.905,24.25,62
0.912,24.25,62
0.923,24.25,62
0.923,24.25,62
0.923,24.25,62
0.925,24.25,62
0.934,24.25,62
0.934,24.25,63
0.938,24.25,63
0.941,24.25,63
0.945,24.25,63
0.949,24.25,63
0.953,24.25,63
0.957,24.25,63
0.961,24.25,63
0.965,22.50,63
0.971,22.50,63
0.976,22.50,100
0.977,22.50,100
0.981,22.50,100
0.985,22.50,100
0.989,22.50,100
0.993,22.50,100
0.997,22.50,100
1.001,22.50,100
1.005,22.50,100
1.013,22.50,100
1.013,22.50,100
1.018,22.50,100
1.024,22.50,100
1.025,22.50,100
1.030,22.50,100
1.034,22.50,100
