Time(sec),Temperature(C),PWM(%)
0.004,29.00,0
0.007,29.00,0
0.011,29.00,0
0.015,29.00,0
0.020,29.00,0
0.023,29.00,0
0.028,29.00,0
0.031,29.00,0
0.036,29.00,0
0.041,29.00,0
0.048,29.00,0
0.048,29.00,0
0.062,29.00,0
0.062,29.00,0
0.062,29.00,0
0.063,29.00,0
0.068,29.00,0
0.073,29.00,0
0.080,29.00,0
0.080,29.00,0
0.091,29.00,0
0.091,29.00,0
0.091,29.00,0
0.096,29.00,0
0.105,29.00,0
0.106,29.00,0
0.107,29.00,0
0.113,29.00,0
0.122,29.00,0
0.122,29.00,0
0.123,29.00,0
0.127,29.00,0
0.131,29.00,0
0.141,29.00,0
0.141,29.00,0
0.143,29.00,0
0.147,29.00,0
0.152,29.00,100
0.155,29.00,100
0.161,29.00,100
0.167,29.00,100
0.167,29.00,100
0.173,29.00,100
0.176,29.00,100
0.179,29.00,100
0.183,29.00,100
0.187,29.00,100
0.194,29.00,100
0.195,29.00,100
0.201,29.00,100
0.207,29.00,100
0.207,29.00,100
0.211,29.00,100
0.215,29.00,100
0.219,29.00,100
0.223,29.00,100
0.227,29.00,100
0.231,29.00,100
0.235,29.00,100
0.239,29.00,100
0.244,29.00,100
0.249,29.00,100
0.254,29.00,100
0.257,29.00,100
0.259,29.00,100
0.263,29.00,100
0.267,29.00,100
0.271,29.00,100
0.275,29.00,100
0.280,29.00,100
0.283,29.00,100
0.287,29.00,100
0.294,29.00,100
0.295,29.00,100
0.301,29.00,100
0.306,29.00,100
0.307,29.00,100
0.311,29.00,100
0.315,29.00,100
0.319,29.00,100
0.324,29.00,100
0.327,29.25,100
0.331,29.25,100
0.335,29.25,97
0.339,29.25,97
0.344,29.25,98
0.348,29.25,98
0.351,29.25,99
0.357,29.25,99
0.359,29.25,100
0.363,29.25,100
0.367,29.25,100
0.372,29.25,100
0.375,29.25,100
0.380,29.25,100
0.384,29.25,100
0.391,29.25,100
0.396,29.25,100
0.396,29.25,100
0.404,29.50,100
0.405,29.50,100
0.420,29.50,97
0.420,29.50,97
0.420,29.50,98
0.420,29.50,98
0.424,29.50,99
0.433,29.50,99
0.433,29.50,100
0.441,29.50,100
0.441,29.50,100
0.444,29.50,100
0.453,29.50,100
0.453,29.50,100
0.455,29.50,100
0.461,29.50,100
0.465,29.50,100
0.469,29.50,100
0.471,29.50,100
0.475,29.75,100
0.480,29.75,97
0.483,29.75,97
0.488,29.75,98
0.494,29.75,98
0.495,29.75,99
0.502,29.75,99
0.507,29.75,100
0.507,29.75,100
0.511,29.75,100
0.515,29.75,100
0.519,29.75,100
0.523,29.75,100
0.527,29.75,100
0.531,29.75,100
0.535,29.75,100
0.539,29.75,100
0.544,29.75,100
0.550,30.00,100
0.556,30.00,97
0.556,30.00,97
0.559,30.00,98
0.563,30.00,98
0.567,30.00,99
0.571,30.00,99
0.575,30.00,100
0.579,30.00,100
0.584,30.00,100
0.587,30.00,100
0.594,30.00,100
0.595,30.00,100
0.600,30.00,100
0.606,30.00,100
0.609,30.00,100
0.611,30.00,100
0.615,30.00,100
0.619,30.00,100
0.623,30.50,100
0.627,30.50,100
0.631,30.50,94
0.635,30.50,94
0.640,30.50,95
0.644,30.50,95
0.648,30.50,96
0.652,30.50,96
0.657,30.50,96
0.659,30.50,96
0.663,30.50,97
0.667,30.50,97
0.671,30.50,98
0.675,30.50,98
0.679,30.50,99
0.683,30.50,99
0.688,30.50,100
0.694,30.50,100
0.695,30.50,100
0.700,31.00,100
0.707,31.00,93
0.707,31.00,93
0.711,31.00,94
0.715,31.00,94
0.719,31.00,95
0.723,31.00,95
0.728,31.00,95
0.731,31.00,95
0.735,31.00,96
0.739,31.00,96
0.744,31.00,97
0.751,31.00,97
0.751,31.00,98
0.757,31.00,98
0.760,31.00,99
0.763,31.00,99
0.767,31.00,99
0.771,31.50,99
0.775,31.50,94
0.779,31.50,94
0.783,31.50,95
0.789,31.50,95
0.795,31.50,95
0.795,31.50,95
0.802,31.50,96
0.804,31.50,96
0.808,31.50,97
0.811,31.50,97
0.815,31.50,98
0.819,31.50,98
0.823,31.50,99
0.827,31.50,99
0.831,31.50,99
0.835,31.50,99
0.839,31.50,100
0.845,31.50,100
0.852,32.25,100
0.852,32.25,100
0.857,32.25,91
0.860,32.25,91
0.863,32.25,92
0.867,32.25,92
0.871,32.25,92
0.875,32.25,92
0.880,32.25,93
0.883,32.25,93
0.887,32.25,94
0.894,32.25,94
0.895,32.25,95
0.904,32.25,95
0.905,32.25,95
0.913,32.25,95
0.913,32.25,96
0.916,32.25,96
0.919,32.50,97
0.923,32.50,97
0.927,32.50,95
0.931,32.50,95
0.936,32.50,95
0.939,32.50,95
0.945,32.50,96
0.952,32.50,96
0.952,32.50,97
0.957,32.50,97
0.959,32.50,98
0.963,32.50,98
0.967,32.50,98
0.971,32.50,98
0.975,32.50,99
0.980,32.50,99
0.983,32.50,100
0.988,32.50,100
0.994,32.50,100
0.995,33.50,100
1.001,33.50,82
1.007,33.50,82
1.007,33.50,83
1.011,33.50,83
1.015,33.50,83
1.019,33.50,83
1.023,33.50,84
1.027,33.50,84
1.031,33.50,85
1.036,33.50,85
1.039,33.50,86
1.044,33.50,86
1.052,33.50,86
1.052,33.50,86
1.057,33.50,87
1.060,33.50,87
1.063,33.50,88
1.067,33.50,88
1.071,34.25,89
1.075,34.25,89
1.080,34.25,80
1.084,34.25,80
1.088,34.25,81
1.093,34.25,81
1.096,34.25,81
1.106,34.25,81
1.116,34.25,82
1.116,34.25,82
1.116,34.25,83
1.116,34.25,83
1.119,34.25,84
1.127,34.25,84
1.127,34.25,84
1.131,34.25,84
1.135,34.25,85
1.140,34.25,85
1.145,35.00,86
1.148,35.00,86
1.154,35.00,77
1.155,35.00,77
1.159,35.00,78
1.164,35.00,78
1.168,35.00,78
1.171,35.00,78
1.175,35.00,79
1.179,35.00,79
1.183,35.00,80
1.189,35.00,80
1.194,35.00,81
1.198,35.00,81
1.199,35.00,81
1.206,35.00,81
1.210,35.00,82
1.215,35.00,82
1.215,35.00,83
1.220,36.00,83
1.223,36.00,71
1.227,36.00,71
1.231,36.00,72
1.235,36.00,72
