Time(sec),Temperature(C),PWM(%)
0.004,15.75,0
0.007,15.75,0
0.011,15.75,0
0.015,15.75,0
0.020,15.75,0
0.023,15.75,0
0.027,15.75,0
0.031,15.75,0
0.035,15.75,0
0.042,15.75,0
0.043,15.75,0
0.057,15.75,0
0.063,15.75,0
0.070,15.75,0
0.082,15.75,0
0.082,15.75,0
0.082,15.75,0
0.082,15.75,0
0.082,15.75,0
0.082,15.75,0
0.083,15.75,0
0.087,15.75,0
0.091,15.75,0
0.096,15.75,0
0.109,15.75,0
0.109,15.75,0
0.110,15.75,0
0.111,15.75,0
0.126,15.75,0
0.127,15.75,0
0.127,15.75,0
0.127,15.75,0
0.132,15.75,0
0.140,15.75,0
0.144,15.75,0
0.150,15.75,0
0.151,15.75,0
0.156,15.75,0
0.160,15.75,0
0.164,15.75,0
0.169,15.75,0
0.172,15.75,0
0.177,15.75,0
0.182,15.75,0
0.183,15.75,0
0.189,15.75,0
0.191,15.75,0
0.200,15.75,0
0.200,15.75,0
0.203,15.75,0
0.208,15.75,0
0.212,15.75,0
0.215,15.75,0
0.219,15.75,0
0.223,15.75,0
0.227,15.75,0
0.231,15.75,0
0.235,15.75,0
0.242,15.75,0
0.243,15.75,0
0.248,15.75,0
0.253,15.75,0
0.255,15.75,0
0.259,15.75,0
0.263,15.75,0
0.267,15.75,0
0.271,15.75,0
0.275,15.75,0
0.279,15.75,0
0.283,15.75,0
0.288,15.75,0
0.296,15.75,0
0.296,15.75,0
0.301,15.75,0
0.305,15.75,0
0.311,15.75,0
0.311,15.75,0
0.315,15.75,0
0.319,15.75,0
0.323,15.75,0
0.327,15.75,0
0.331,15.75,0
0.335,15.75,0
0.342,15.75,0
0.343,15.75,0
0.348,15.75,0
0.354,15.75,0
0.355,15.75,0
0.359,15.75,0
0.363,15.75,0
0.367,15.75,0
0.371,15.75,0
0.375,15.75,0
0.379,15.75,0
0.383,15.75,0
0.388,15.75,0
0.394,15.75,0
0.395,15.75,0
0.400,15.75,0
0.407,15.75,0
0.407,15.75,0
0.411,15.75,0
0.415,15.75,0
0.419,15.75,0
0.423,15.75,0
0.427,15.75,0
0.431,15.75,0
0.435,15.75,0
0.440,15.75,0
0.444,15.75,0
0.448,15.75,0
0.452,15.75,0
0.458,15.75,0
0.459,15.75,0
0.463,15.75,0
0.467,15.75,0
0.471,15.75,0
0.475,15.75,0
0.479,15.75,0
0.483,15.75,0
0.493,15.75,0
0.496,15.75,0
0.500,15.75,0
0.506,15.75,0
0.508,15.75,0
0.511,15.75,0
0.515,15.75,0
0.519,15.75,0
0.523,15.75,0
0.527,15.75,0
0.531,15.75,0
0.535,15.75,0
0.543,15.75,0
0.543,15.75,0
0.549,15.75,0
0.555,15.75,0
0.555,15.75,0
0.559,15.75,0
0.563,15.75,0
0.567,15.75,0
0.571,15.75,0
0.575,15.75,0
0.579,15.75,0
0.583,15.75,0
0.593,15.75,0
0.595,15.75,0
0.599,15.75,0
0.605,15.75,0
0.607,15.75,0
0.611,15.75,0
0.615,15.75,0
0.619,15.75,0
0.623,15.75,0
0.627,15.75,0
0.631,15.75,0
0.635,15.75,0
0.640,15.75,0
0.644,15.75,0
0.650,15.75,0
0.651,15.75,0
0.656,15.75,0
0.659,15.75,0
0.663,15.75,0
0.667,15.75,0
0.671,15.75,0
0.675,15.75,0
0.679,15.75,0
0.683,15.75,0
0.687,15.75,0
0.694,15.75,0
0.695,15.75,0
0.700,15.75,0
0.707,15.75,0
0.707,15.75,0
0.711,15.75,0
0.715,15.75,0
0.719,15.75,0
0.723,15.75,0
0.727,15.75,0
0.731,15.75,0
0.735,15.75,0
0.739,15.75,0
0.743,15.75,0
0.749,15.75,0
0.756,15.75,0
0.756,15.75,0
0.759,15.75,0
0.763,15.75,0
0.767,15.75,0
0.771,15.75,0
0.775,15.75,0
0.779,15.75,0
0.783,15.75,0
0.794,15.75,0
0.795,15.75,0
0.800,15.75,0
0.806,15.75,0
0.807,15.75,0
0.811,15.75,0
0.815,15.75,0
0.819,15.75,0
0.823,15.75,0
0.827,15.75,0
0.831,15.75,0
0.835,15.75,0
0.839,15.75,0
0.843,15.75,0
0.850,15.75,0
0.851,15.75,0
0.856,15.75,0
0.859,15.75,0
0.863,15.75,0
0.867,15.75,0
0.871,15.75,0
0.875,15.75,0
0.879,15.75,0
0.883,15.75,0
0.893,15.75,0
0.895,15.75,0
0.899,15.75,0
0.905,15.75,0
0.907,15.75,0
0.911,15.75,0
0.915,15.75,0
0.919,15.75,0
0.923,15.75,0
0.927,15.75,0
0.931,15.75,0
0.935,15.75,0
0.943,15.75,0
0.943,15.75,0
0.949,15.75,0
0.956,15.75,0
0.956,15.75,0
0.959,15.75,0
0.963,15.75,0
0.967,15.75,0
0.971,15.75,0
0.975,15.75,0
0.979,15.75,0
0.983,15.75,0
0.987,15.75,0
0.994,15.75,0
0.995,15.75,0
1.001,15.75,0
1.006,15.75,0
1.008,15.75,0
1.011,15.75,0
1.015,15.75,0
1.019,15.75,0
1.023,15.75,0
1.027,15.75,0
1.031,15.75,0
1.035,15.75,0
1.040,15.75,0
1.044,15.75,0
1.047,15.75,0
1.051,15.75,0
1.056,15.75,0
1.059,15.75,0
1.063,15.75,0
1.067,15.75,0
1.071,15.75,0
1.075,15.75,0
1.079,15.75,0
1.083,15.75,0
1.094,15.75,0
1.095,15.75,0
1.101,15.75,0
1.106,15.75,0
1.107,15.75,0
1.111,15.75,0
1.115,15.75,0
1.119,15.75,0
1.123,15.75,0
1.127,15.75,0
1.131,15.75,0
1.135,15.75,0
1.139,15.75,0
1.144,15.75,0
1.151,15.75,0
1.151,15.75,0
1.157,15.75,0
1.159,15.75,0
1.163,15.75,0
1.167,15.75,0
1.171,15.75,0
1.175,15.75,0
1.179,15.75,0
1.183,15.75,0
1.188,15.75,0
