Time(sec),Temperature(C),PWM(%)
0.002,23.75,0
0.006,23.75,0
0.010,23.75,0
0.014,23.75,0
0.018,23.75,0
0.022,23.75,0
0.026,23.75,0
0.030,23.75,0
0.034,23.75,0
0.043,23.75,0
0.044,23.75,0
0.046,23.75,0
0.058,23.75,0
0.064,23.75,0
0.069,23.75,0
0.069,23.75,0
0.081,23.75,0
0.082,23.75,0
0.082,23.75,0
0.082,23.75,0
0.083,23.75,0
0.086,23.75,0
0.091,23.75,0
0.098,23.75,0
0.104,23.75,0
0.110,23.75,0
0.111,23.75,0
0.111,23.75,0
0.127,23.75,0
0.128,23.75,0
0.128,23.75,0
0.128,23.75,0
0.130,23.75,0
0.134,23.75,0
0.139,23.75,0
0.151,23.75,0
0.165,23.75,0
0.166,23.75,0
0.166,23.75,0
0.166,23.75,0
0.166,23.75,0
0.166,23.75,0
0.171,23.75,0
0.181,23.75,0
0.181,23.75,0
0.188,23.75,0
0.188,23.75,0
0.191,23.75,0
0.195,23.75,0
0.201,23.75,0
0.202,23.75,0
0.207,23.75,0
0.210,23.75,0
0.214,23.75,0
0.223,23.75,0
0.226,23.75,0
0.230,23.75,0
0.234,23.75,0
0.239,23.75,0
0.243,23.75,0
0.250,23.75,0
0.250,23.75,0
0.254,23.75,0
0.260,23.75,0
0.265,23.75,0
0.267,23.75,0
0.270,23.75,0
0.274,23.75,0
0.278,23.75,0
0.282,23.75,0
0.287,23.75,0
0.291,23.75,0
0.295,23.75,0
0.298,23.75,0
0.302,23.75,0
0.306,23.75,0
0.310,23.75,0
0.318,23.75,0
0.318,23.75,0
0.322,23.75,0
0.326,23.75,0
0.330,23.75,0
0.335,23.75,0
0.340,23.75,0
0.342,23.75,0
0.346,23.75,0
0.351,23.75,0
0.354,23.75,0
0.358,23.75,0
0.362,23.75,0
0.366,23.75,0
0.370,23.75,0
0.374,23.75,0
0.378,23.75,0
0.382,23.75,0
0.387,23.75,0
0.392,23.75,0
0.399,23.75,0
0.399,23.75,0
0.414,23.75,0
0.414,23.75,0
0.414,23.75,0
0.414,23.75,0
0.421,23.75,0
0.426,23.75,0
0.426,23.75,0
0.433,23.75,0
0.435,23.75,0
0.446,23.75,0
0.446,23.75,0
0.446,23.75,0
0.453,23.75,0
0.454,23.75,0
0.461,23.75,0
0.462,23.75,0
0.466,23.75,0
0.470,23.75,0
0.474,23.75,0
0.478,23.75,0
0.482,23.75,0
0.486,23.75,0
0.491,23.75,0
0.497,23.75,0
0.498,23.75,0
0.502,23.75,0
0.506,23.75,0
0.510,23.75,0
0.514,23.75,0
0.518,23.75,0
0.522,23.75,0
0.528,23.75,0
0.530,23.75,0
0.534,23.75,0
0.541,23.75,0
0.542,23.75,0
0.547,23.75,0
0.551,23.75,0
0.554,23.75,0
0.558,23.75,0
0.562,23.75,0
0.566,23.75,0
0.570,23.75,0
0.574,23.75,0
0.578,23.75,0
0.582,23.75,0
0.591,23.75,0
0.591,23.75,0
0.595,23.75,0
0.601,23.75,0
0.602,23.75,0
0.606,23.75,0
0.610,23.75,0
0.614,23.75,0
0.618,23.75,0
0.622,23.75,0
0.626,23.75,0
0.633,23.75,0
0.637,23.75,0
0.642,23.75,0
0.642,23.75,0
0.648,23.75,0
0.652,23.75,0
0.654,23.75,0
0.658,23.75,0
0.662,23.75,0
0.666,23.75,0
0.670,23.75,0
0.674,23.75,0
0.678,23.75,0
0.682,23.75,0
0.691,23.75,0
0.691,23.75,0
0.697,23.75,0
0.698,23.75,0
0.702,23.75,0
0.706,23.75,0
0.710,23.75,0
0.714,23.75,0
0.718,23.75,0
0.722,23.75,0
0.726,23.75,0
0.730,23.75,0
0.741,23.75,0
0.741,23.75,0
0.742,23.75,0
0.748,23.75,0
0.752,23.75,0
0.754,23.75,0
0.758,23.75,0
0.762,23.75,0
0.766,23.75,0
0.770,23.75,0
0.774,23.75,0
0.778,23.75,0
0.782,23.75,0
0.786,23.75,0
0.791,23.75,0
0.794,23.75,0
0.798,23.75,0
0.802,23.75,0
0.806,23.75,0
0.810,23.75,0
0.814,23.75,0
0.818,23.75,0
0.822,23.75,0
0.826,23.75,0
0.830,23.75,0
0.842,23.75,0
0.842,23.75,0
0.848,23.75,0
0.853,23.75,0
0.854,23.75,0
0.858,23.75,0
0.862,23.75,0
0.866,23.75,0
0.870,23.75,0
0.874,23.75,0
0.878,23.75,0
0.882,23.75,0
0.888,23.75,0
0.892,23.75,0
0.894,23.75,0
0.900,23.75,0
0.912,23.75,0
0.912,23.75,0
0.913,23.75,0
0.914,23.75,0
0.922,23.75,0
0.922,23.75,0
0.928,23.75,0
0.930,23.75,0
0.941,23.75,0
0.942,23.75,0
0.948,23.75,0
0.952,23.75,0
0.955,23.75,0
0.958,23.75,0
0.962,23.75,0
0.966,23.75,0
0.970,23.75,0
0.974,23.75,0
0.978,23.75,0
0.982,23.75,0
0.991,23.75,0
0.991,23.75,0
0.994,23.75,0
0.998,23.75,0
1.002,23.75,0
1.006,23.75,0
1.010,23.75,0
1.014,23.75,0
1.018,23.75,0
1.022,23.75,0
1.026,23.75,0
1.030,23.75,0
1.042,23.75,0
1.042,23.75,0
1.048,23.75,0
1.054,23.75,0
1.054,23.75,0
1.058,23.75,0
1.062,23.75,0
1.066,23.75,0
1.070,23.75,0
1.074,23.75,0
1.078,23.75,0
1.082,23.75,0
1.087,23.75,0
1.091,23.75,0
1.095,23.75,0
1.098,23.75,0
1.102,23.75,0
1.106,23.75,0
1.110,23.50,0
1.114,23.50,0
1.118,23.50,0
1.122,23.50,0
1.126,23.50,0
1.130,23.50,0
1.143,23.50,0
1.143,23.50,0
1.146,23.50,0
1.150,23.50,0
1.154,23.50,0
1.162,23.50,0
1.162,23.50,0
1.171,23.50,0
1.171,23.50,0
1.178,23.50,0
1.178,23.50,0
1.182,23.50,0
1.188,23.75,0
1.191,23.75,0
1.195,23.75,0
1.198,23.75,0
1.202,23.75,0
1.206,23.75,0
1.210,23.75,0
1.214,23.75,0
1.218,23.75,0
1.222,23.75,0
1.226,23.75,0
1.230,23.75,0
1.240,23.75,0
1.243,23.75,0
1.247,23.75,0
1.251,23.75,0
1.254,23.75,0
1.258,23.75,0
1.262,23.75,0
1.266,23.75,0
1.271,23.75,0
1.274,23.75,0
1.278,23.75,0
1.282,23.75,0
1.288,23.75,0
1.291,23.75,0
1.298,23.75,0
1.301,23.75,0
1.309,23.75,0
1.309,23.75,0
1.310,23.75,0
1.318,23.75,0
1.318,23.75,0
1.324,23.75,0
1.326,23.75,0
1.330,23.75,0
1.341,23.75,0
1.342,23.75,0
1.347,23.75,0
1.351,23.75,0
1.354,23.75,0
1.358,23.75,0
1.362,23.75,0
1.366,23.75,0
1.370,23.75,0
1.374,23.75,0
1.378,23.75,0
1.382,23.75,0
1.387,23.75,0
1.391,23.75,0
1.395,23.75,0
1.398,23.75,0
1.402,23.75,0
1.406,23.75,0
1.410,23.75,0
1.414,23.75,0
1.418,23.75,0
1.422,23.75,0
1.426,23.75,0
1.430,23.75,0
1.441,23.75,0
1.441,23.75,0
1.442,23.75,0
1.447,23.75,0
1.451,23.75,0
1.454,23.75,0
1.458,23.75,0
1.462,23.75,0
1.466,23.75,0
1.470,23.75,0
1.474,23.75,0
1.478,23.75,0
1.482,23.75,0
1.486,23.75,0
1.493,23.75,0
1.499,23.75,0
1.499,23.75,0
1.510,23.75,0
1.510,23.75,0
1.510,23.75,0
1.515,23.75,0
1.519,23.75,0
1.525,23.75,0
1.527,23.75,0
1.530,23.75,0
1.539,23.75,0
1.543,23.75,0
1.543,23.75,0
1.548,23.75,0
1.550,23.75,0
1.557,23.75,0
1.558,23.75,0
1.563,23.75,0
1.566,23.75,0
1.570,23.75,0
1.574,23.75,0
1.578,23.75,0
1.582,23.75,0
1.592,23.75,0
1.592,23.75,0
1.594,23.75,0
1.598,23.75,0
1.603,23.75,0
1.607,23.75,0
1.610,23.75,0
1.614,23.75,0
1.618,23.75,0
1.622,23.75,0
1.626,23.75,0
1.630,23.75,0
1.642,23.75,0
1.642,23.75,0
1.649,23.75,0
1.653,23.75,0
1.654,23.75,0
1.658,23.75,0
1.662,23.75,0
1.666,23.75,0
1.670,23.75,0
1.674,23.75,0
1.678,23.75,0
1.682,23.75,0
1.687,23.75,0
1.691,23.75,0
1.694,23.75,0
1.699,23.75,0
1.703,23.75,0
1.707,23.75,0
1.710,23.75,0
1.714,23.75,0
1.718,23.75,0
1.723,23.75,0
1.726,23.75,0
1.730,23.75,0
1.739,23.75,0
1.740,23.75,0
1.742,23.75,0
1.750,23.75,0
1.752,23.75,0
1.762,23.75,0
1.764,23.75,0
1.764,23.75,0
1.766,23.75,0
1.774,23.75,0
1.774,23.75,0
1.779,23.75,0
1.782,23.75,0
1.787,23.75,0
1.791,23.75,0
1.798,23.75,0
1.798,23.75,0
1.802,23.75,0
1.806,23.75,0
1.810,23.75,0
1.814,23.75,0
1.818,23.75,0
1.822,23.75,0
1.826,23.75,0
1.830,23.75,0
